20200508_SD_Ucpdd_K1;TX001;TX002;TX003;;;
;TSE LabMaster V6.3.3 (2017-3514);;;;;
Box;Animal No.; Weight [g];Genotype;Sex;Measurement;
546;30401338;26.2;Adipoq WT;male;Individual;
552;30296991;21.0;Adipoq WT;female;Individual;
551;30398600;22.8;Adipoq WT;female;Individual;
549;30262145;31.0;Adipoq WT;male;Individual;
550;30400692;20.9;Adipoq WT;female;Individual;
547;30302237;20.7;Adipoq WT;female;Individual;
548;30334547;29.7;Adipoq WT;male;Individual;
5;39;31.16;Adipoq KO;male;Individual;
2;24;29.88;Adipoq KO;male;Individual;
13;43;30.44;Adipoq KO;male;Individual;
0;38;33.51;Adipoq KO;male;Individual;
7;23;32.65;Adipoq KO;male;Individual;
1;42;30.04;Adipoq KO;male;Individual;
3;37;32.77;Adipoq KO;male;Individual;
;;;;;;
Date;Time;Animal No.;Box;VO2(3);VCO2(3);WeightBody
;;;;[ml/h];[ml/h];[g]
04/10/2015;11:59;37;male;88,99959;80,69509;32,77
03/10/2015;23:35;39;male;84,544426;78,055046;31,16
03/10/2015;14:35;43;male;88,68968;76,39493;30,44
03/10/2015;02:03;39;male;89,89596;80,285995;31,16
04/10/2015;09:51;43;male;88,087776;77,70269;30,44
03/10/2015;06:23;24;male;115,01121;111,58087;29,88
03/10/2015;02:01;38;male;79,48484;70,44305;33,51
03/10/2015;16:01;24;male;68,891396;61,754677;29,88
03/10/2015;05:31;43;male;128,3012;130,07814;30,44
04/10/2015;05:13;38;male;113,99592;113,772675;33,51
04/10/2015;12:57;23;male;106,4863;105,28922;32,65
04/10/2015;06:55;38;male;109,29487;109,777275;33,51
04/10/2015;02:47;24;male;115,64389;111,6219;29,88
03/10/2015;19:37;39;male;83,507;75,897156;31,16
03/10/2015;10:29;37;male;120,67519;112,6216;32,77
04/10/2015;05:47;38;male;97,4882;99,85853;33,51
03/10/2015;03:45;39;male;133,96123;130,2773;31,16
02/10/2015;22:27;24;male;75,99968;63,246365;29,88
04/10/2015;02:23;38;male;85,39527;77,48816;33,51
03/10/2015;09:11;23;male;87,98263;84,14625;32,65
04/10/2015;13:45;39;male;91,81475;84,008316;31,16
04/10/2015;15:25;38;male;71,11844;63,58716;33,51
02/10/2015;23:15;42;male;107,57201;106,36008;30,04
