20200508_SD_Ucpdd_K1;Test;TX001;TX002;TX003;;;;;;;;;;;;;
;TSE LabMaster V6.3.3 (2017-3514);;;;;;;;;;;;;;;;
Box;Animal No.;Weight [g];Diet;Genotype;Text3;;;;;;;;;;;;
4;2265;26.81;HFD;KO;Text3-4;;;;;;;;;;;;
5;2195;34.98;HFD;WT;Text3-5;;;;;;;;;;;;
7;2262;37.68;HFD;WT;Text3-7;;;;;;;;;;;;
8;2263;36.32;HFD;KO;Text3-8;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Date;Time;Animal No.;Box;S.Flow;Ref.O2;Ref.CO2;Ref.TD;Flow;Temp;O2;CO2;TD;dO2;dCO2;VO2(3);VCO2(3);RER
;;;;[l/min];[%];[%];[°C];[l/min];[°C];[%];[%];[°C];[%];[%];[ml/h];[ml/h];
08.05.2020;19:02;2195;5;0,4;20,78;0,049;-138,605;0,51;29,5;20,59;0,222;-138,606;0,1977;0,1734;63;53;0,85
08.05.2020;19:07;2195;5;0,4;20,78;0,049;-138,605;0,5;29,5;20,61;0,202;-138,606;0,1731;0,1532;54;46;0,859
08.05.2020;19:12;2195;5;0,4;20,78;0,048;-138,605;0,5;29,6;20,55;0,264;-138,605;0,2357;0,2161;72;65;0,897
08.05.2020;19:17;2195;5;0,4;20,78;0,047;-138,605;0,5;29,6;20,55;0,256;-138,605;0,2333;0,2082;72;63;0,868
08.05.2020;19:22;2195;5;0,4;20,78;0,048;-138,605;0,5;29,6;20,47;0,33;-138,605;0,3118;0,2824;96;85;0,884
08.05.2020;19:27;2195;5;0,4;20,79;0,048;-138,606;0,5;29,6;20,56;0,245;-138,606;0,2247;0,1974;70;60;0,852
08.05.2020;19:32;2195;5;0,4;20,78;0,048;-138,605;0,49;29,6;20,6;0,213;-138,605;0,1891;0,165;58;49;0,845
08.05.2020;19:37;2195;5;0,4;20,78;0,05;-138,605;0,5;29,5;20,6;0,209;-138,605;0,178;0,1581;55;48;0,863
08.05.2020;19:42;2195;5;0,4;20,78;0,05;-138,605;0,5;29,6;20,51;0,304;-138,605;0,2726;0,2544;83;76;0,917
08.05.2020;19:47;2195;5;0,4;20,78;0,048;-138,605;0,5;29,6;20,55;0,26;-138,605;0,232;0,2117;71;64;0,892
08.05.2020;19:52;2195;5;0,4;20,78;0,048;-138,606;0,51;29,6;20,55;0,266;-138,605;0,2382;0,2176;74;66;0,893
08.05.2020;19:57;2195;5;0,4;20,78;0,048;-138,606;0,5;29,6;20,57;0,237;-138,605;0,2136;0,1891;66;57;0,859
08.05.2020;20:02;2195;5;0,4;20,78;0,05;-138,605;0,5;29,6;20,59;0,217;-138,605;0,1878;0,167;58;50;0,864
08.05.2020;20:07;2195;5;0,4;20,78;0,051;-138,605;0,5;29,5;20,6;0,219;-138,605;0,1842;0,168;57;51;0,891
08.05.2020;20:12;2195;5;0,4;20,78;0,049;-138,604;0,5;29,6;20,61;0,204;-138,605;0,1719;0,1552;53;46;0,88
08.05.2020;20:17;2195;5;0,4;20,78;0,048;-138,605;0,5;29,5;20,56;0,252;-138,605;0,2259;0,2038;69;61;0,88
08.05.2020;20:22;2195;5;0,4;20,78;0,048;-138,605;0,5;29,6;20,48;0,331;-138,606;0,302;0,2829;92;85;0,921
08.05.2020;20:27;2195;5;0,4;20,78;0,048;-138,605;0,5;29,6;20,49;0,332;-138,605;0,2996;0,2839;91;85;0,935
08.05.2020;20:32;2195;5;0,4;20,78;0,048;-138,605;0,5;29,6;20,52;0,282;-138,605;0,264;0,2338;82;71;0,86
08.05.2020;20:37;2195;5;0,4;20,78;0,05;-138,605;0,5;29,6;20,57;0,236;-138,605;0,2124;0,1861;66;56;0,849
08.05.2020;20:42;2195;5;0,4;20,78;0,051;-138,605;0,5;29,6;20,59;0,216;-138,604;0,1866;0,165;58;50;0,858
08.05.2020;20:47;2195;5;0,4;20,78;0,049;-138,605;0,5;29,5;20,59;0,225;-138,605;0,1977;0,1753;61;53;0,861
08.05.2020;20:52;2195;5;0,4;20,78;0,048;-138,605;0,5;29,5;20,61;0,206;-138,605;0,1743;0,1577;54;47;0,882
08.05.2020;20:57;2195;5;0,4;20,78;0,049;-138,605;0,5;29,5;20,62;0,198;-138,606;0,167;0,1493;51;44;0,87
08.05.2020;21:02;2195;5;0,4;20,78;0,05;-138,606;0,51;29,4;20,61;0,21;-138,605;0,1768;0,1601;56;49;0,884
08.05.2020;21:07;2195;5;0,4;20,78;0,052;-138,606;0,5;29,5;20,53;0,288;-138,605;0,2541;0,2357;78;71;0,91
08.05.2020;21:12;2195;5;0,4;20,78;0,053;-138,606;0,49;29,5;20,58;0,229;-138,605;0,2001;0,1763;61;52;0,854
08.05.2020;21:17;2195;5;0,4;20,78;0,052;-138,605;0,5;29,5;20,59;0,217;-138,605;0,1854;0,165;58;50;0,865
08.05.2020;21:22;2195;5;0,4;20,78;0,05;-138,605;0,5;29,4;20,6;0,215;-138,605;0,1842;0,1645;57;49;0,869
08.05.2020;21:27;2195;5;0,4;20,78;0,05;-138,606;0,49;29,5;20,61;0,207;-138,605;0,1756;0,1562;54;46;0,864
08.05.2020;21:32;2195;5;0,4;20,78;0,051;-138,605;0,51;29,4;20,6;0,211;-138,604;0,178;0,1606;56;49;0,88
08.05.2020;21:37;2195;5;0,4;20,78;0,052;-138,605;0,5;29,4;20,6;0,216;-138,604;0,1805;0,164;56;49;0,888
08.05.2020;21:42;2195;5;0,4;20,78;0,052;-138,605;0,5;29,4;20,5;0,314;-138,605;0,2812;0,2618;86;79;0,914
08.05.2020;21:47;2195;5;0,4;20,78;0,052;-138,605;0,51;29,5;20,53;0,28;-138,605;0,2529;0,2279;79;69;0,878
08.05.2020;21:52;2195;5;0,4;20,78;0,052;-138,606;0,5;29,5;20,51;0,299;-138,605;0,2701;0,247;83;74;0,895
08.05.2020;21:57;2195;5;0,4;20,78;0,053;-138,605;0,5;29,5;20,45;0,356;-138,605;0,3315;0,303;102;91;0,894
08.05.2020;22:02;2195;5;0,4;20,78;0,054;-138,606;0,5;29,5;20,52;0,285;-138,605;0,2591;0,2303;80;69;0,864
08.05.2020;22:07;2195;5;0,4;20,78;0,053;-138,606;0,5;29,5;20,55;0,258;-138,605;0,2308;0,2043;72;61;0,859
08.05.2020;22:12;2195;5;0,4;20,78;0,053;-138,606;0,49;29,5;20,58;0,231;-138,605;0,2001;0,1778;61;53;0,863
08.05.2020;22:17;2195;5;0,4;20,78;0,053;-138,605;0,49;29,5;20,6;0,215;-138,606;0,1842;0,1626;56;48;0,856
08.05.2020;22:22;2195;5;0,4;20,78;0,052;-138,605;0,5;29,5;20,61;0,205;-138,604;0,1719;0,1527;53;46;0,863
08.05.2020;22:27;2195;5;0,4;20,78;0,053;-138,605;0,5;29,5;20,61;0,206;-138,605;0,1707;0,1527;53;46;0,871
08.05.2020;22:32;2195;5;0,4;20,78;0,054;-138,605;0,5;29,5;20,6;0,209;-138,605;0,1731;0,1542;54;46;0,866
08.05.2020;22:37;2195;5;0,4;20,78;0,056;-138,605;0,51;29,5;20,57;0,241;-138,605;0,205;0,1856;64;57;0,884
08.05.2020;22:42;2195;5;0,4;20,78;0,056;-138,605;0,5;29,5;20,48;0,331;-138,605;0,2934;0,2745;89;82;0,92
08.05.2020;22:47;2195;5;0,4;20,78;0,056;-138,605;0,5;29,5;20,45;0,346;-138,605;0,3229;0,2903;100;88;0,876
08.05.2020;22:52;2195;5;0,4;20,78;0,055;-138,605;0,5;29,6;20,46;0,339;-138,606;0,3204;0,2844;100;86;0,862
08.05.2020;22:57;2195;5;0,4;20,78;0,054;-138,605;0,51;29,6;20,47;0,322;-138,605;0,3045;0,2677;95;81;0,852
08.05.2020;23:02;2195;5;0,4;20,78;0,056;-138,605;0,5;29,6;20,55;0,249;-138,605;0,2259;0,1935;70;58;0,825
08.05.2020;23:07;2195;5;0,4;20,78;0,054;-138,605;0,5;29,6;20,59;0,217;-138,605;0,1891;0,1631;58;49;0,832
08.05.2020;23:12;2195;5;0,4;20,78;0,054;-138,605;0,5;29,5;20,61;0,203;-138,605;0,1707;0,1488;53;45;0,844
08.05.2020;23:17;2195;5;0,4;20,78;0,054;-138,605;0,5;29,5;20,61;0,2;-138,605;0,167;0,1459;52;44;0,846
08.05.2020;23:22;2195;5;0,4;20,78;0,055;-138,605;0,5;29,5;20,57;0,241;-138,605;0,2099;0,1861;65;56;0,861
08.05.2020;23:27;2195;5;0,4;20,78;0,055;-138,605;0,5;29,5;20,49;0,312;-138,606;0,2824;0,2573;87;78;0,891
08.05.2020;23:32;2195;5;0,4;20,78;0,054;-138,605;0,49;29,5;20,58;0,226;-138,604;0,2001;0,1714;62;51;0,825
08.05.2020;23:37;2195;5;0,4;20,78;0,057;-138,605;0,5;29,5;20,59;0,21;-138,605;0,1817;0,1537;57;46;0,813
08.05.2020;23:42;2195;5;0,4;20,77;0,058;-138,605;0,51;29,5;20,6;0,206;-138,605;0,1719;0,1478;54;45;0,83
08.05.2020;23:47;2195;5;0,4;20,78;0,056;-138,605;0,5;29,5;20,61;0,203;-138,606;0,1694;0,1473;53;44;0,841
08.05.2020;23:52;2195;5;0,4;20,78;0,055;-138,606;0,5;29,5;20,58;0,221;-138,605;0,1928;0,166;60;50;0,831
08.05.2020;23:57;2195;5;0,4;20,78;0,055;-138,605;0,51;29,5;20,46;0,345;-138,605;0,3143;0,2898;97;88;0,903
09.05.2020;00:02;2195;5;0,4;20,78;0,056;-138,605;0,5;29,6;20,47;0,33;-138,605;0,3057;0,2745;95;83;0,875
09.05.2020;00:07;2195;5;0,4;20,77;0,058;-138,605;0,5;29,7;20,49;0,31;-138,605;0,2861;0,2515;89;76;0,852
09.05.2020;00:12;2195;5;0,4;20,77;0,059;-138,605;0,5;29,6;20,51;0,283;-138,605;0,2615;0,224;82;67;0,825
09.05.2020;00:17;2195;5;0,4;20,77;0,058;-138,605;0,5;29,6;20,56;0,237;-138,605;0,2124;0,1788;66;53;0,808
09.05.2020;00:22;2195;5;0,4;20,77;0,06;-138,605;0,5;29,6;20,59;0,217;-138,605;0,1854;0,1577;58;47;0,818
09.05.2020;00:27;2195;5;0,4;20,77;0,06;-138,605;0,5;29,6;20,59;0,212;-138,605;0,178;0,1527;55;46;0,827
09.05.2020;00:32;2195;5;0,4;20,77;0,057;-138,605;0,5;29,6;20,54;0,265;-138,605;0,2382;0,2082;74;63;0,846
09.05.2020;00:37;2195;5;0,4;20,77;0,057;-138,605;0,51;29,5;20,55;0,261;-138,605;0,2284;0,2043;71;62;0,871
09.05.2020;00:42;2195;5;0,4;20,78;0,056;-138,605;0,5;29,5;20,59;0,216;-138,605;0,1817;0,1596;56;48;0,851
09.05.2020;00:47;2195;5;0,4;20,78;0,056;-138,605;0,5;29,5;20,6;0,212;-138,605;0,1756;0,1567;55;47;0,868
09.05.2020;00:52;2195;5;0,4;20,78;0,056;-138,605;0,5;29,5;20,6;0,21;-138,604;0,1768;0,1547;55;47;0,847
09.05.2020;00:57;2195;5;0,4;20,78;0,056;-138,605;0,5;29,5;20,58;0,226;-138,605;0,1915;0,1704;59;51;0,865
09.05.2020;01:02;2195;5;0,4;20,78;0,056;-138,605;0,5;29,5;20,59;0,215;-138,606;0,1829;0,1591;57;48;0,841
09.05.2020;01:07;2195;5;0,4;20,77;0,058;-138,605;0,5;29,5;20,6;0,214;-138,605;0,178;0,1562;55;47;0,85
09.05.2020;01:12;2195;5;0,4;20,77;0,058;-138,605;0,5;29,5;20,6;0,208;-138,605;0,1731;0,1503;54;45;0,839
09.05.2020;01:17;2195;5;0,4;20,77;0,056;-138,606;0,51;29,5;20,61;0,204;-138,605;0,1682;0,1478;53;45;0,852
09.05.2020;01:22;2195;5;0,4;20,78;0,056;-138,605;0,5;29,5;20,6;0,206;-138,605;0,1731;0,1503;54;45;0,839
09.05.2020;01:27;2195;5;0,4;20,78;0,056;-138,605;0,5;29,5;20,47;0,329;-138,605;0,302;0,2736;93;83;0,884
09.05.2020;01:32;2195;5;0,4;20,78;0,056;-138,605;0,5;29,6;20,47;0,329;-138,605;0,3045;0,2736;94;82;0,875
09.05.2020;01:37;2195;5;0,4;20,78;0,056;-138,605;0,5;29,6;20,52;0,283;-138,605;0,2591;0,2269;80;68;0,848
09.05.2020;01:42;2195;5;0,4;20,78;0,056;-138,605;0,5;29,6;20,54;0,254;-138,605;0,232;0,1979;73;60;0,821
09.05.2020;01:47;2195;5;0,4;20,78;0,057;-138,605;0,49;29,5;20,59;0,218;-138,605;0,1903;0,1616;58;47;0,817
09.05.2020;01:52;2195;5;0,4;20,77;0,057;-138,605;0,51;29,5;20,6;0,204;-138,604;0,1719;0,1464;54;45;0,82
09.05.2020;01:57;2195;5;0,4;20,78;0,056;-138,605;0,5;29,5;20,61;0,205;-138,605;0,1694;0,1483;52;44;0,848
09.05.2020;02:02;2195;5;0,4;20,77;0,057;-138,605;0,5;29,5;20,6;0,205;-138,605;0,1719;0,1478;53;44;0,83
09.05.2020;02:07;2195;5;0,4;20,77;0,057;-138,605;0,5;29,5;20,51;0,294;-138,605;0,2603;0,2372;81;72;0,891
09.05.2020;02:12;2195;5;0,4;20,77;0,059;-138,605;0,5;29,5;20,55;0,254;-138,605;0,2222;0,195;69;59;0,85
09.05.2020;02:17;2195;5;0,4;20,77;0,058;-138,605;0,5;29,5;20,59;0,213;-138,605;0,1805;0,1552;56;47;0,829
09.05.2020;02:22;2195;5;0,4;20,77;0,057;-138,605;0,5;29,5;20,6;0,207;-138,605;0,1731;0,1493;54;45;0,832
09.05.2020;02:27;2195;5;0,4;20,77;0,058;-138,605;0,5;29,5;20,61;0,201;-138,604;0,1657;0,1429;52;43;0,832
09.05.2020;02:32;2195;5;0,4;20,77;0,058;-138,605;0,5;29,5;20,61;0,198;-138,605;0,1645;0,14;52;42;0,819
09.05.2020;02:37;2195;5;0,4;20,77;0,057;-138,606;0,5;29,5;20,61;0,2;-138,605;0,1657;0,1429;52;43;0,832
09.05.2020;02:42;2195;5;0,4;20,77;0,056;-138,605;0,5;29,5;20,52;0,276;-138,605;0,2517;0,22;78;66;0,846
09.05.2020;02:47;2195;5;0,4;20,77;0,057;-138,606;0,5;29,5;20,51;0,293;-138,605;0,2627;0,2362;81;71;0,876
09.05.2020;02:52;2195;5;0,4;20,78;0,057;-138,605;0,5;29,5;20,46;0,33;-138,605;0,3155;0,2736;98;83;0,838
09.05.2020;02:57;2195;5;0,4;20,78;0,056;-138,605;0,5;29,6;20,48;0,312;-138,605;0,2971;0,2564;93;77;0,833
09.05.2020;03:02;2195;5;0,4;20,77;0,057;-138,605;0,5;29,6;20,56;0,237;-138,605;0,2161;0,1807;68;54;0,802
09.05.2020;03:07;2195;5;0,4;20,77;0,056;-138,605;0,51;29,6;20,59;0,214;-138,605;0,1878;0,1577;60;48;0,805
09.05.2020;03:12;2195;5;0,4;20,78;0,056;-138,605;0,5;29,5;20,6;0,203;-138,605;0,1731;0,1468;54;44;0,816
09.05.2020;03:17;2195;5;0,4;20,77;0,059;-138,605;0,5;29,5;20,61;0,202;-138,605;0,1633;0,1434;51;43;0,851
09.05.2020;03:22;2195;5;0,4;20,77;0,06;-138,605;0,5;29,5;20,61;0,203;-138,605;0,1633;0,1424;51;43;0,844
09.05.2020;03:27;2195;5;0,4;20,77;0,058;-138,605;0,51;29,5;20,61;0,199;-138,605;0,1621;0,1414;51;43;0,845
09.05.2020;03:32;2195;5;0,4;20,77;0,058;-138,605;0,51;29,5;20,56;0,241;-138,605;0,2099;0,1827;66;55;0,842
09.05.2020;03:37;2195;5;0,4;20,77;0,058;-138,605;0,51;29,5;20,56;0,245;-138,604;0,2149;0,1876;68;57;0,845
09.05.2020;03:42;2195;5;0,4;20,77;0,057;-138,605;0,49;29,5;20,59;0,21;-138,605;0,1805;0,1532;55;45;0,817
09.05.2020;03:47;2195;5;0,4;20,77;0,057;-138,605;0,51;29,5;20,61;0,198;-138,605;0,1645;0,1405;52;43;0,822
09.05.2020;03:52;2195;5;0,4;20,77;0,06;-138,605;0,5;29,5;20,62;0,187;-138,605;0,1547;0,1267;49;38;0,782
09.05.2020;03:57;2195;5;0,4;20,77;0,058;-138,605;0,5;29,5;20,61;0,197;-138,605;0,1657;0,139;52;42;0,804
09.05.2020;04:02;2195;5;0,4;20,77;0,058;-138,604;0,5;29,4;20,61;0,192;-138,605;0,1621;0,1346;50;40;0,795
09.05.2020;04:07;2195;5;0,4;20,77;0,058;-138,605;0,5;29,5;20,55;0,246;-138,605;0,221;0,1886;69;57;0,822
09.05.2020;04:12;2195;5;0,4;20,77;0,058;-138,605;0,5;29,5;20,47;0,334;-138,605;0,3033;0,2755;93;83;0,887
09.05.2020;04:17;2195;5;0,4;20,77;0,058;-138,604;0,5;29,6;20,44;0,342;-138,605;0,329;0,2844;102;85;0,834
09.05.2020;04:22;2195;5;0,4;20,77;0,058;-138,605;0,5;29,6;20,53;0,261;-138,605;0,2443;0,2023;76;61;0,792
09.05.2020;04:27;2195;5;0,4;20,77;0,058;-138,605;0,5;29,6;20,56;0,231;-138,604;0,2087;0,1729;65;52;0,793
09.05.2020;04:32;2195;5;0,4;20,77;0,058;-138,605;0,5;29,6;20,59;0,209;-138,604;0,1842;0,1513;58;45;0,785
09.05.2020;04:37;2195;5;0,4;20,77;0,061;-138,604;0,5;29,5;20,62;0,188;-138,605;0,1559;0,1272;49;38;0,778
09.05.2020;04:42;2195;5;0,4;20,77;0,061;-138,605;0,5;29,5;20,62;0,188;-138,605;0,1498;0,1272;47;38;0,817
09.05.2020;04:47;2195;5;0,4;20,77;0,061;-138,605;0,5;29,5;20,62;0,191;-138,605;0,151;0,1301;47;39;0,832
09.05.2020;04:52;2195;5;0,4;20,77;0,06;-138,606;0,5;29,5;20,62;0,188;-138,604;0,1498;0,1282;47;39;0,825
09.05.2020;04:57;2195;5;0,4;20,77;0,061;-138,605;0,5;29,5;20,62;0,185;-138,604;0,1461;0,1247;46;37;0,822
09.05.2020;05:02;2195;5;0,4;20,77;0,06;-138,605;0,5;29,6;20,52;0,276;-138,605;0,2468;0,2161;77;65;0,848
09.05.2020;05:07;2195;5;0,4;20,77;0,059;-138,605;0,5;29,6;20,54;0,256;-138,605;0,2308;0,1974;72;60;0,824
09.05.2020;05:12;2195;5;0,4;20,77;0,059;-138,605;0,5;29,6;20,47;0,314;-138,604;0,3045;0,2554;96;77;0,805
09.05.2020;05:17;2195;5;0,4;20,77;0,058;-138,605;0,5;29,6;20,56;0,236;-138,605;0,2149;0,1783;68;54;0,794
09.05.2020;05:22;2195;5;0,4;20,77;0,059;-138,605;0,49;29,5;20,59;0,214;-138,604;0,1842;0,1552;56;46;0,809
09.05.2020;05:27;2195;5;0,4;20,77;0,06;-138,605;0,51;29,5;20,6;0,205;-138,605;0,1694;0,1444;54;44;0,82
09.05.2020;05:32;2195;5;0,4;20,77;0,059;-138,605;0,5;29,5;20,61;0,193;-138,605;0,1572;0,1341;49;40;0,822
09.05.2020;05:37;2195;5;0,4;20,77;0,059;-138,606;0,5;29,5;20,62;0,189;-138,605;0,1522;0,1301;48;39;0,824
09.05.2020;05:42;2195;5;0,4;20,77;0,059;-138,605;0,5;29,5;20,59;0,215;-138,605;0,1793;0,1567;56;47;0,846
09.05.2020;05:47;2195;5;0,4;20,77;0,059;-138,605;0,5;29,5;20,55;0,255;-138,605;0,2185;0,1955;68;59;0,87
09.05.2020;05:52;2195;5;0,4;20,77;0,061;-138,605;0,5;29,5;20,6;0,207;-138,604;0,1657;0,1459;52;44;0,853
09.05.2020;05:57;2195;5;0,4;20,77;0,06;-138,605;0,5;29,5;20,62;0,196;-138,605;0,1559;0,1365;48;41;0,848
09.05.2020;06:02;2195;5;0,4;20,77;0,06;-138,605;0,5;29,5;20,63;0,187;-138,605;0,1473;0,1277;46;38;0,837
09.05.2020;06:07;2195;5;0,4;20,77;0,06;-138,605;0,49;29,5;20,62;0,189;-138,606;0,1486;0,1297;45;38;0,845
09.05.2020;06:12;2195;5;0,4;20,77;0,061;-138,604;0,49;29,5;20,63;0,185;-138,605;0,1449;0,1238;44;36;0,823
09.05.2020;06:17;2195;5;0,4;20,77;0,062;-138,605;0,5;29,6;20,55;0,253;-138,605;0,2198;0,191;68;57;0,841
09.05.2020;06:22;2195;5;0,4;20,77;0,063;-138,605;0,5;29,7;20,49;0,304;-138,605;0,2738;0,2411;85;73;0,854
09.05.2020;06:27;2195;5;0,4;20,77;0,063;-138,605;0,5;29,7;20,45;0,333;-138,604;0,3229;0,2701;101;81;0,802
09.05.2020;06:32;2195;5;0,4;20,77;0,063;-138,605;0,5;29,7;20,52;0,274;-138,605;0,2492;0,2112;78;64;0,815
09.05.2020;06:37;2195;5;0,4;20,77;0,063;-138,605;0,5;29,8;20,5;0,292;-138,605;0,2713;0,2298;85;69;0,814
09.05.2020;06:42;2195;5;0,4;20,77;0,062;-138,605;0,5;29,8;20,55;0,242;-138,605;0,2149;0,1807;67;54;0,808
09.05.2020;06:47;2195;5;0,4;20,77;0,061;-138,605;0,49;29,8;20,58;0,221;-138,605;0,1903;0,1601;59;47;0,808
09.05.2020;06:52;2195;5;0,4;20,77;0,061;-138,605;0,51;29,8;20,56;0,239;-138,605;0,2087;0,1783;66;54;0,823
09.05.2020;06:57;2195;5;0,4;20,77;0,061;-138,605;0,51;29,9;20,6;0,207;-138,605;0,1731;0,1459;55;45;0,809
09.05.2020;07:02;2195;5;0,4;20,77;0,061;-138,605;0,5;29,9;20,62;0,183;-138,605;0,1461;0,1223;46;37;0,803
09.05.2020;07:07;2195;5;0,4;20,77;0,06;-138,605;0,5;29,8;20,63;0,177;-138,605;0,1387;0,1164;43;35;0,805
09.05.2020;07:12;2195;5;0,4;20,77;0,061;-138,605;0,5;29,9;20,63;0,182;-138,605;0,1436;0,1213;45;37;0,811
09.05.2020;07:17;2195;5;0,4;20,77;0,061;-138,605;0,5;29,9;20,63;0,171;-138,605;0,1351;0,1105;43;33;0,781
09.05.2020;07:22;2195;5;0,4;20,77;0,06;-138,604;0,5;29,9;20,63;0,173;-138,605;0,1387;0,113;44;34;0,776
09.05.2020;07:27;2195;5;0,4;20,77;0,06;-138,605;0,5;29,9;20,63;0,175;-138,605;0,1387;0,1149;44;35;0,793
09.05.2020;07:32;2195;5;0,4;20,77;0,062;-138,605;0,51;30;20,6;0,205;-138,605;0,1707;0,1434;54;44;0,807
09.05.2020;07:37;2195;5;0,4;20,77;0,062;-138,604;0,51;30;20,54;0,259;-138,605;0,2259;0,1969;71;60;0,843
09.05.2020;07:42;2195;5;0,4;20,77;0,062;-138,606;0,5;30;20,57;0,23;-138,605;0,1989;0,1685;62;50;0,814
09.05.2020;07:47;2195;5;0,4;20,77;0,061;-138,605;0,5;30,1;20,59;0,206;-138,605;0,178;0,1454;56;44;0,779
09.05.2020;07:52;2195;5;0,4;20,77;0,06;-138,605;0,5;29,9;20,62;0,186;-138,605;0,1547;0,1262;49;38;0,778
09.05.2020;07:57;2195;5;0,4;20,77;0,06;-138,605;0,49;29,8;20,62;0,189;-138,605;0,1522;0,1287;47;38;0,812
09.05.2020;08:02;2195;5;0,4;20,77;0,06;-138,605;0,5;29,6;20,62;0,187;-138,605;0,1486;0,1272;46;38;0,825
09.05.2020;08:07;2195;5;0,4;20,77;0,06;-138,605;0,5;29,6;20,61;0,193;-138,605;0,1559;0,1336;49;40;0,826
09.05.2020;08:12;2195;5;0,4;20,77;0,06;-138,605;0,49;29,6;20,63;0,185;-138,605;0,1449;0,1257;44;37;0,839
09.05.2020;08:17;2195;5;0,4;20,77;0,063;-138,605;0,51;29,6;20,63;0,182;-138,605;0,14;0,1193;44;36;0,821
09.05.2020;08:22;2195;5;0,4;20,77;0,062;-138,606;0,5;29,6;20,62;0,19;-138,605;0,1461;0,1277;45;38;0,846
09.05.2020;08:27;2195;5;0,4;20,77;0,061;-138,606;0,5;29,7;20,55;0,255;-138,606;0,2161;0,194;67;59;0,874
09.05.2020;08:32;2195;5;0,4;20,77;0,061;-138,605;0,5;29,7;20,58;0,227;-138,605;0,1915;0,166;60;50;0,837
09.05.2020;08:37;2195;5;0,4;20,77;0,061;-138,606;0,49;29,8;20,62;0,185;-138,606;0,1498;0,1247;46;37;0,798
09.05.2020;08:42;2195;5;0,4;20,77;0,06;-138,606;0,51;29,8;20,57;0,229;-138,605;0,1989;0,1685;63;51;0,814
09.05.2020;08:47;2195;5;0,4;20,77;0,06;-138,605;0,5;29,8;20,61;0,196;-138,605;0,1633;0,1355;51;41;0,795
09.05.2020;08:52;2195;5;0,4;20,77;0,059;-138,605;0,5;29,9;20,63;0,172;-138,606;0,1387;0,113;44;34;0,776
09.05.2020;08:57;2195;5;0,4;20,77;0,059;-138,605;0,51;29,9;20,63;0,17;-138,605;0,1375;0,1115;44;34;0,772
09.05.2020;09:02;2195;5;0,4;20,77;0,059;-138,605;0,5;29,9;20,63;0,175;-138,605;0,1387;0,1159;44;35;0,801
09.05.2020;09:07;2195;5;0,4;20,77;0,059;-138,605;0,5;30;20,63;0,173;-138,606;0,1375;0,1144;43;34;0,797
09.05.2020;09:12;2195;5;0,4;20,77;0,058;-138,605;0,5;30;20,63;0,171;-138,605;0,1387;0,1125;44;34;0,772
09.05.2020;09:17;2195;5;0,4;20,77;0,058;-138,606;0,51;30,1;20,58;0,22;-138,606;0,1928;0,1621;62;50;0,807
09.05.2020;09:22;2195;5;0,4;20,77;0,06;-138,605;0,5;30,1;20,55;0,256;-138,605;0,2247;0,196;70;59;0,844
09.05.2020;09:27;2195;5;0,4;20,77;0,059;-138,605;0,51;29,8;20,59;0,211;-138,605;0,1866;0,1522;59;46;0,778
09.05.2020;09:32;2195;5;0,4;20,77;0,06;-138,606;0,5;29,7;20,62;0,178;-138,605;0,1473;0,1179;46;35;0,76
09.05.2020;09:37;2195;5;0,4;20,77;0,058;-138,606;0,5;29,6;20,64;0,168;-138,605;0,1363;0,11;43;33;0,768
09.05.2020;09:42;2195;5;0,4;20,77;0,058;-138,605;0,51;29,6;20,6;0,202;-138,605;0,178;0,1439;57;44;0,77
09.05.2020;09:47;2195;5;0,4;20,77;0,057;-138,605;0,5;29,6;20,6;0,201;-138,605;0,1731;0,1439;54;43;0,796
09.05.2020;09:52;2195;5;0,4;20,77;0,057;-138,606;0,5;29,6;20,62;0,183;-138,604;0,1559;0,1257;49;38;0,767
09.05.2020;09:57;2195;5;0,4;20,77;0,057;-138,605;0,5;29,6;20,64;0,166;-138,605;0,1387;0,109;44;33;0,744
09.05.2020;10:02;2195;5;0,4;20,78;0,056;-138,605;0,5;29,7;20,64;0,163;-138,605;0,1351;0,1071;43;32;0,752
09.05.2020;10:07;2195;5;0,4;20,78;0,055;-138,605;0,51;29,7;20,64;0,163;-138,605;0,1338;0,108;43;33;0,769
09.05.2020;10:12;2195;5;0,4;20,78;0,054;-138,605;0,5;29,8;20,65;0,157;-138,605;0,1301;0,1026;41;31;0,747
09.05.2020;10:17;2195;5;0,4;20,78;0,054;-138,605;0,51;29,8;20,65;0,154;-138,605;0,1326;0,1002;43;31;0,71
09.05.2020;10:22;2195;5;0,4;20,78;0,054;-138,605;0,51;29,8;20,64;0,164;-138,605;0,1363;0,11;44;34;0,768
09.05.2020;10:27;2195;5;0,4;20,78;0,053;-138,605;0,5;29,9;20,65;0,163;-138,605;0,1338;0,1095;42;33;0,781
09.05.2020;10:32;2195;5;0,4;20,78;0,052;-138,605;0,5;29,9;20,66;0,154;-138,605;0,1228;0,1017;39;31;0,792
09.05.2020;10:37;2195;5;0,4;20,78;0,052;-138,606;0,5;30;20,65;0,159;-138,605;0,1314;0,1076;42;32;0,782
09.05.2020;10:42;2195;5;0,4;20,78;0,052;-138,605;0,5;30;20,65;0,155;-138,605;0,1265;0,1026;40;31;0,773
