"";"Animal No._NA";"VO2(3)_[ml/h]";"VCO2(3)_[ml/h]";"RER_NA";"Datetime";"LightC_[%]";"Box_NA.x";"Datetime2";"hour";"minutes";"MeasPoint";"diff.sec";"running_total.sec";"running_total.hrs";"running_total.hrs.round";"timeintervalinmin";"running_total.hrs.halfhour";"HP";"HP2";"Animals";"Box_NA.y";"Weight..g."
"4626";235;105;97;0,922;"05/03/2023 23:51";0;7;2023-03-05 23:51:00;23;51;415;900;396000;110;110;0,833333333333333;110,833333333333;608,08608;604,6383;"235";"7";"21.5"
"4627";235;38;32;0,856;"05/03/2023 07:06";99;7;2023-03-05 07:06:00;7;6;352;900;335700;93,2;93;0;93;215,885904;215,23504;"235";"7";"21.5"
"4628";235;69;54;0,773;"03/03/2023 06:51";99;7;2023-03-03 06:51:00;6;51;170;900;162000;45;45;0,833333333333333;45,8333333333333;382,450716;382,63191;"235";"7";"21.5"
"4629";235;31;23;0,759;"07/03/2023 13:51";99;7;2023-03-07 13:51:00;13;51;558;900;532800;148;148;0,833333333333333;148,833333333333;171,101772;171,28647;"235";"7";"21.5"
"4630";235;103;105;1,018;"02/03/2023 22:06";0;7;2023-03-02 22:06:00;22;6;137;900;130500;36,2;36;0;36;612,996672;607,26122;"235";"7";"21.5"
"4631";235;92;88;0,954;"07/03/2023 19:51";0;7;2023-03-07 19:51:00;19;51;581;900;554400;154;154;0,833333333333333;154,833333333333;537,709824;533,98824;"235";"7";"21.5"
"4632";235;43;39;0,905;"10/03/2023 02:06";0;7;2023-03-10 02:06:00;2;6;785;900;749700;208,2;208;0;208;247,80642;246,56845;"235";"7";"21.5"
"4633";235;33;98;2,933;"06/03/2023 21:36";0;7;2023-03-06 21:36:00;21;36;497;900;474300;131,8;131;0,5;131,5;301,806252;284,92827;"235";"7";"21.5"
"4634";235;36;41;1,152;"06/03/2023 16:21";99;7;2023-03-06 16:21:00;16;21;477;900;455400;126,5;126;0,333333333333333;126,333333333333;222,297696;219,14496;"235";"7";"21.5"
"4635";235;33;28;0,85;"05/03/2023 13:36";99;7;2023-03-05 13:36:00;13;36;376;900;359100;99,8;99;0,5;99,5;187,1496;186,6315;"235";"7";"21.5"
"4636";235;68;59;0,868;"03/03/2023 18:06";0;7;2023-03-03 18:06:00;18;6;213;900;202500;56,2;56;0;56;387,683232;386,32432;"235";"7";"21.5"
"4637";235;93;80;0,859;"04/03/2023 04:51";0;7;2023-03-04 04:51:00;4;51;253;900;241200;67;67;0,833333333333333;67,8333333333333;528,817716;527,15841;"235";"7";"21.5"
"4638";235;93;83;0,893;"02/03/2023 09:51";99;7;2023-03-02 09:51:00;9;51;91;900;86400;24;24;0,833333333333333;24,8333333333333;534,091932;531,68007;"235";"7";"21.5"
"4639";235;67;65;0,964;"05/03/2023 02:21";0;7;2023-03-05 02:21:00;2;21;334;900;318600;88,5;88;0,333333333333333;88,3333333333333;392,710584;389,84084;"235";"7";"21.5"
"4640";235;31;34;1,097;"06/03/2023 16:36";99;7;2023-03-06 16:36:00;16;36;478;900;456300;126,8;126;0,5;126,5;188,579076;186,27001;"235";"7";"21.5"
"4641";235;62;49;0,8;"07/03/2023 14:36";99;7;2023-03-07 14:36:00;14;36;561;900;535500;148,8;148;0,5;148,5;346,4436;346,208;"235";"7";"21.5"
"4642";235;106;93;0,874;"03/03/2023 18:21";0;7;2023-03-03 18:21:00;18;21;214;900;203400;56,5;56;0,333333333333333;56,3333333333333;605,390592;603,12092;"235";"7";"21.5"
"4643";235;92;86;0,936;"08/03/2023 20:06";0;7;2023-03-08 20:06:00;20;6;672;900;641700;178,2;178;0;178;534,947616;531,62016;"235";"7";"21.5"
"4644";235;109;106;0,971;"02/03/2023 01:06";0;7;2023-03-02 01:06:00;1;6;58;900;54900;15,2;15;0;15;640,160052;635,30977;"235";"7";"21.5"
"4645";235;103;104;1,014;"05/03/2023 19:21";0;7;2023-03-05 19:21:00;19;21;398;900;379800;105,5;105;0,333333333333333;105,333333333333;612,309456;606,67206;"235";"7";"21.5"
"4646";235;44;35;0,796;"08/03/2023 07:06";99;7;2023-03-08 07:06:00;7;6;623;900;594900;165,2;165;0;165;245,569632;245,44432;"235";"7";"21.5"
"4647";235;66;58;0,879;"01/03/2023 23:21";0;7;2023-03-01 23:21:00;23;21;52;900;48600;13,5;13;0,333333333333333;13,3333333333333;377,491752;376,00002;"235";"7";"21.5"
