timestep	day	time	daytime	7555	7543	7557	5066	7558	5068
25	day_1	17:03	day	0.4066443941753419	0.5152481892218758	0.36121755300387287	0.5334351530029205	0.36882479564542725	0.5726243876506412
26	day_1	17:18	day	0.3928686299564314	0.5156350523472791	0.34241362963903926	0.6245229073197882	0.4300215259722637	0.5434874758284718
27	day_1	17:33	day	0.368924122908506	0.49458404033448117	0.5167236194252515	0.5702437196696657	0.35829918258170906	0.5501248775301283
28	day_1	17:48	day	0.44191053255063767	0.5807446297106911	0.4129131647529046	0.5806340798798785	0.3519702998448273	0.5548969801473408
29	day_1	18:03	day	0.3878255949100352	0.5915620628167348	0.3993832860813323	0.5695242697822797	0.4048811993793092	0.6000877948950305
30	day_1	18:18	day	0.478711212580905	0.5449453974534855	0.3290345389837327	0.5624991484609427	0.30949428181558314	0.6164624274854152
31	day_1	18:33	day	0.4630283131679267	0.5700842574922046	0.48289028227497993	0.552724006080917	0.4448847458927925	0.5775666784857139
32	day_1	18:48	day	0.45549377151295517	0.5880876618907296	0.5209187662881486	0.6170089841966283	0.48782697667540953	0.5996554531397184
33	day_1	19:03	day	0.36840770142016277	0.5690915006047015	0.41818813921843506	0.6420565019143191	0.4292479564542727	0.5841755897900609
34	day_1	19:18	day	0.467568517083848	0.5872627995369973	0.47978430654066545	0.6448402878753504	0.3853934606536728	0.6016189860784403
35	day_1	19:33	day	0.4550973955462808	0.5759345017622082	0.5141339834105342	0.6056826194444379	0.44082834215891054	0.611625982983435
36	day_1	19:48	day	0.5483295584927	0.6395730825981399	0.41905181992641355	0.5921277784908553	0.5376888311124373	0.5866630656185327
37	day_1	20:03	day	0.4442004533535115	0.6490402404116483	0.41547431675445323	0.5404451590464174	0.523097824585447	0.5821112479052932
38	day_1	20:18	day	0.5334201593258412	0.6984453664309536	0.5122941149527496	0.6368278975224934	0.5110021810299823	0.5735017210271264
39	day_1	20:33	day	0.5425186863927233	0.5821789143151758	0.437836126467079	0.6194753896020974	0.4281455041994	0.5704912820678789
40	day_1	20:48	day	0.5318437150766634	0.5778467778264147	0.49788701662122337	0.5354578900148974	0.29025150296775604	0.5996827123893883
41	day_1	21:03	day	0.5252027182578914	0.6081643040000542	0.49903687486522	0.5396888787160833	0.5258291577053917	0.600134700915556
42	day_1	21:18	day	0.47445186891874896	0.5651462272413437	0.4909267037048799	0.5955208636260511	0.5242381511784013	0.5922573675390708
43	day_1	21:33	day	0.4138912799318195	0.6359418069197689	0.41266386208210654	0.6313776292417328	0.5057572211521729	0.5887296184099139
