timestep	day	time	daytime	5058	7564	7566	7728
56	day_1	23:19	day	0.40065993458116556	0.4642679593261312	0.27388543798365816	0.5171876599747041
57	day_1	23:34	day	0.5365676122495058	0.45085985470133594	0.27985504649021176	0.4073266759366598
58	day_1	23:49	day	0.5456822440266751	0.5379079154670721	0.22244599404423376	0.41061978345255346
59	day_1	00:04	day	0.5451082644452561	0.4244517500765408	0.29520659100170155	0.4305471282932815
60	day_1	00:19	day	0.4968913866570316	0.39246247228175396	0.23288004495229217	0.36600831383483967
61	day_1	00:34	day	0.5848169967278263	0.48300372091878113	0.26998230806378665	0.4313430721276186
62	day_1	00:49	day	0.5353482723745628	0.46449927448694883	0.2794416600023484	0.39207079000016754
63	day_1	01:04	day	0.5180457131517827	0.44106029623273507	0.29094697739160874	0.43666586342692254
64	day_1	01:19	day	0.5203568282280036	0.4704042256661327	0.3046666993613209	0.4892697952486451
65	day_1	01:34	day	0.4524226623037683	0.2835412486370272	0.27151801694649336	0.441593829987352
66	day_1	01:49	day	0.5554714600051728	0.4010508670137427	0.44603457425112036	0.4403998756560597
67	day_1	02:04	day	0.57308404004341	0.46286594131699366	0.4357990513978388	0.4362760896052334
68	day_1	02:19	day	0.3835058816516054	0.34894988961715023	0.3875895859961183	0.43699937828029856
69	day_1	02:34	day	0.5114014471190226	0.3475948596630929	0.45262612694198845	0.48800194231867783
70	day_1	02:49	day	0.5294626305865411	0.28902387234298654	0.40163570273102833	0.42744541107030076
71	day_1	03:04	day	0.5422129725430298	0.41408637623271677	0.43827906775659553	0.44555528780897413
72	day_1	03:19	day	0.5439203369996451	0.3504807943644107	0.4871518061830207	0.428284948000201
73	day_1	03:34	day	0.5329013103364271	0.3760525383154101	0.44860067462727343	0.43738472290450386
74	day_1	03:49	day	0.5264317652875908	0.365169409862099	0.44198336705326735	0.42843398863695376
75	day_1	04:04	day	0.5481504212495565	0.42421229868295157	0.3308547439217887	0.41482189729953844
76	day_1	04:19	day	0.5438999425104724	0.40613352232767846	0.44457552488098157	0.4929773094524529
77	day_1	04:34	day	0.5258169967278261	0.4559892777947868	0.3481718654663697	0.4212837045607981
78	day_1	04:49	day	0.5516610288419294	0.2728080730168189	0.43203981599827485	0.4642122928409291
79	day_1	05:04	day	0.5486194191680108	0.3199617467687028	0.3091263538683057	0.4305944517070535
80	day_1	05:19	day	0.5171622598852886	0.37525556581925074	0.38398366962169034	0.41881241718486933
81	day_1	05:34	day	0.5311732778254479	0.37821617764161414	0.4411986793389884	0.4333948247388744
82	day_1	05:49	day	0.5319547586460778	0.4617836643185045	0.4610199079991374	0.4425673319620227
83	day_1	06:04	day	0.546985897510219	0.23204310909641768	0.2967533885155633	0.41175561365642815
84	day_1	06:19	day	0.606288183167808	0.268333805819196	0.3470892077855895	0.38204809945262047
85	day_1	06:34	day	0.6026621231026931	0.41797634793257854	0.43777420421996993	0.3913424504079171
86	day_1	06:49	day	0.5296747824339981	0.38881362327714875	0.4428963753306018	0.3974018179747376
87	day_1	07:04	day	0.6032060580807348	0.3853892461868106	0.38383468463843984	0.40014593203824533
88	day_1	07:19	day	0.6263917970048181	0.3652561021745786	0.4594331432027892	0.39836576267516566
89	day_1	07:34	day	0.5397453424505303	0.3457520340581928	0.407	0.3425742480383124
90	day_1	07:49	day	0.5537560868254986	0.3475366130474717	0.3305357088827067	0.39697225853526763
91	day_1	08:04	day	0.49096440876028224	0.3276945440734646	0.3085915526908682	0.3921604630700997
92	day_1	08:19	day	0.5288065259180488	0.36145433604898247	0.41779995910310797	0.4403386429301348
93	day_1	08:34	day	0.5589831618583094	0.3708008514548218	0.41762149033168006	0.34635635972006995
94	day_1	08:49	day	0.5634609891953954	0.3401978555589573	0.43140723703543965	0.3960663608026837
95	day_1	09:04	day	0.5959501080378317	0.3507927152220503	0.38613774506788395	0.38645357058599344
96	day_1	09:19	day	0.5914926751899185	0.3572141280245003	0.3205357088827067	0.3730145310318544
97	day_2	09:34	day	0.6156365308748923	0.3493211920367505	0.30286734539505905	0.3418534462420531
98	day_2	09:49	day	0.5733256893638624	0.2832213495864975	0.3094485658758297	0.39169492549063134
99	day_2	10:04	day	0.5921493269887927	0.383133144012232	0.48026485535724733	0.3505174445098712
100	day_2	10:19	day	0.5920856814345556	0.5495909807044304	0.3930763569441449	0.41488693750324573
101	day_2	10:34	day	0.6305745267118009	0.44143714891266506	0.34054079934564974	0.36897536713377505
102	day_2	10:49	day	0.6383229537119529	0.42986723430321455	0.311908069098603	0.382785220280265
