20200508_SD_Ucpdd_K1;TX001;TX002;TX003;;;
;TSE LabMaster V6.3.3 (2017-3514);;;;;
Box;Animal No.; Weight [g];Genotype;Sex;Measurement;
17/06/2014;22:46;30300777;male;91,0;91,0;27,5
24/03/2015;04:00;30327906;male;99,0;99,0;27,0
19/05/2015;22:45;30332480;male;95,0;95,0;28,7
19/05/2015;17:30;30332480;male;112,0;112,0;28,7
26/01/2015;12:30;30322409;female;83,0;83,0;22,7
23/03/2015;15:45;30327907;male;54,0;54,0;26,2
18/06/2014;01:46;30300774;female;83,0;83,0;21,5
17/06/2014;17:01;30300775;female;70,0;70,0;24,0
04/11/2014;02:00;30314490;male;70,0;70,0;27,9
19/05/2015;20:00;30332406;male;69,0;69,0;32,4
03/11/2014;14:00;30314490;male;64,0;64,0;27,9
17/06/2014;21:31;30300775;female;61,0;61,0;24,0
17/06/2014;18:31;30300774;female;79,0;79,0;21,5
03/11/2014;13:30;30314490;male;82,0;82,0;27,9
24/03/2015;06:00;30327907;male;59,0;59,0;26,2
03/11/2014;14:45;30314498;male;78,0;78,0;30,9
24/03/2015;05:30;30327907;male;70,0;70,0;26,2
20/05/2015;03:00;30332401;female;84,0;84,0;25,4
20/05/2015;07:45;30332480;male;88,0;88,0;28,7
19/05/2015;19:15;30332401;female;92,0;92,0;25,4
04/11/2014;05:45;30314512;female;85,0;85,0;26,3
18/06/2014;02:16;30300777;male;71,0;71,0;27,5
19/05/2015;14:15;30332401;female;52,0;52,0;25,4
23/03/2015;17:00;30327907;male;75,0;75,0;26,2
04/11/2014;07:30;30314490;male;66,0;66,0;27,9
24/03/2015;06:15;30327906;male;77,0;77,0;27,0
18/06/2014;06:31;30300781;female;87,0;87,0;23,3
17/06/2014;14:31;30300777;male;49,0;49,0;27,5
23/03/2015;23:15;30327907;male;106,0;106,0;26,2
27/01/2015;03:30;30322409;female;98,0;98,0;22,7
26/01/2015;16:15;30322409;female;51,0;51,0;22,7
03/11/2014;22:15;30314490;male;103,0;103,0;27,9
19/05/2015;14:45;30332406;male;68,0;68,0;32,4
27/01/2015;01:15;30322409;female;93,0;93,0;22,7
24/03/2015;05:45;30327906;male;58,0;58,0;27,0
19/05/2015;19:45;30332480;male;80,0;80,0;28,7
19/05/2015;21:00;30332410;female;59,0;59,0;26,8
24/03/2015;01:45;30327907;male;66,0;66,0;26,2
19/05/2015;11:15;30332406;male;74,0;74,0;32,4
27/01/2015;09:00;30322409;female;55,0;55,0;22,7
20/05/2015;02:15;30332480;male;69,0;69,0;28,7
04/11/2014;02:45;30314512;female;73,0;73,0;26,3
18/06/2014;00:31;30300774;female;44,0;44,0;21,5
17/06/2014;13:46;30300774;female;70,0;70,0;21,5
03/11/2014;13:00;30314490;male;73,0;73,0;27,9
24/03/2015;06:00;30327906;male;61,0;61,0;27,0
17/06/2014;19:46;30300781;female;64,0;64,0;23,3
24/03/2015;06:30;30327907;male;62,0;62,0;26,2
19/05/2015;13:00;30332406;male;60,0;60,0;32,4
18/06/2014;01:46;30300781;female;84,0;84,0;23,3
03/11/2014;18:15;30314490;male;117,0;117,0;27,9
17/06/2014;20:46;30300781;female;87,0;87,0;23,3
03/11/2014;15:45;30314498;male;64,0;64,0;30,9
17/06/2014;12:46;30300774;female;63,0;63,0;21,5
23/03/2015;18:15;30327906;male;85,0;85,0;27,0
18/06/2014;02:01;30300774;female;101,0;101,0;21,5
