"";"Datetime";"Animal No._NA";"Box_NA";"TempC_[°C]";"HumC_[%]";"LightC_[%]";"S.Flow_[l/min]";"Ref.O2_[%]";"Ref.CO2_[%]";"Flow_[l/min]";"Temp_[°C]";"O2_[%]";"CO2_[%]";"dO2_[%]";"dCO2_[%]";"VO2(1)_[ml/h/kg]";"VO2(2)_[ml/h/kg]";"VO2(3)_[ml/h]";"VCO2(1)_[ml/h/kg]";"VCO2(2)_[ml/h/kg]";"VCO2(3)_[ml/h]";"RER_NA";"H(1)_[kcal/h/kg]";"H(2)_[kcal/h/kg]";"H(3)_[kcal/h]";"XT+YT_[Cnts]";"XT_[Cnts]";"XA_[Cnts]";"XF_[Cnts]";"YT_[Cnts]";"YA_[Cnts]";"YF_[Cnts]";"Z_[Cnts]";"CenT_[Cnts]";"CenA_[Cnts]";"CenF_[Cnts]";"PerT_[Cnts]";"PerA_[Cnts]";"PerF_[Cnts]";"DistK_[cm]";"DistD_[cm]";"Speed_[cm/s]";"Drink_[ml]";"Feed1_[g]";"Datetime2";"hour";"minutes";"MeasPoint";"diff.sec";"running_total.sec";"running_total.hrs";"running_total.hrs.round";"timeintervalinmin";"running_total.hrs.halfhour";"HP";"HP2"
"35";"09/11/2020 14:23";6722;2;23,1;56;49;0,35;20,82;0,042;0,36;23,5;20,49;0,303;0,33;0,26;3343;1298;76;2493;968;57;0,746;15,934;6,185;0,362;105;57;29;28;48;20;28;0;0;0;0;105;49;56;8390;26;0;0,04;0,07;2020-11-09 14:23:00;14;23;18;900;15300;4,2;4;0,333333333333333;4,33333333333333;417,827328;418,51528
"36";"09/11/2020 14:23";6715;3;23,1;56;49;0,35;20,82;0,042;0,36;23,4;20,48;0,337;0,343;0,294;3503;1351;77;2903;1119;64;0,829;17,016;6,561;0,376;2026;1231;943;288;795;588;207;350;696;575;121;1330;956;374;12211;1395;2;0,21;0,23;2020-11-09 14:23:00;14;23;18;900;15300;4,2;4;0,333333333333333;4,33333333333333;433,985244;433,16119
"37";"09/11/2020 14:38";6722;2;23,1;55;49;0,35;20,82;0,043;0,35;23,6;20,5;0,296;0,322;0,253;3150;1223;72;2348;911;53;0,745;15,012;5,827;0,341;986;528;408;120;458;340;118;144;318;269;49;668;479;189;9144;754;1;0,05;0,07;2020-11-09 14:38:00;14;38;19;900;16200;4,5;4;0,5;4,5;395,71632;396,3852
"38";"09/11/2020 14:38";6715;3;23,1;55;49;0,35;20,82;0,043;0,35;23,4;20,48;0,343;0,334;0,301;3254;1255;72;2852;1100;63;0,876;15,979;6,161;0,353;2216;1331;1056;275;885;668;217;330;732;612;120;1484;1112;372;13832;1621;2;0,26;0,32;2020-11-09 14:38:00;14;38;19;900;16200;4,5;4;0,5;4,5;411,448896;409,87296
"39";"09/11/2020 14:53";6722;2;23;55;49;0,35;20,82;0,042;0,35;23,6;20,39;0,398;0,431;0,356;4165;1617;95;3287;1276;75;0,789;20,051;7,783;0,455;1872;993;784;209;879;654;225;265;687;569;118;1185;869;316;10678;1534;2;0,05;0,13;2020-11-09 14:53:00;14;53;20;900;17100;4,8;4;0,833333333333333;4,83333333333333;529,09794;528,98565
"40";"09/11/2020 14:53";6715;3;23;55;49;0,35;20,82;0,042;0,35;23,4;20,5;0,332;0,317;0,29;3080;1187;68;2751;1061;61;0,893;15,18;5,853;0,335;2695;1701;1372;329;994;767;227;503;1031;886;145;1664;1253;411;15829;1998;2;0,28;0,32;2020-11-09 14:53:00;14;53;20;900;17100;4,8;4;0,833333333333333;4,83333333333333;390,518832;388,75532
"41";"09/11/2020 15:08";6722;2;22,9;55;49;0,35;20,82;0,042;0,35;23,6;20,42;0,381;0,399;0,339;3829;1486;87;3133;1216;71;0,818;18,555;7,202;0,421;174;160;63;97;14;5;9;1;174;68;106;0;0;0;10705;26;0;0,05;0,13;2020-11-09 15:08:00;15;8;21;900;18000;5;5;0;5;488,750688;488,04738
"42";"09/11/2020 15:08";6715;3;22,9;55;49;0,35;20,82;0,042;0,35;23,4;20,53;0,303;0,294;0,261;2863;1104;63;2473;954;55;0,864;14,019;5,405;0,31;329;177;74;103;152;62;90;14;0;0;0;329;136;193;15981;152;0;0,29;0,33;2020-11-09 15:08:00;15;8;21;900;18000;5;5;0;5;358,756776;357,55776
"43";"09/11/2020 15:23";6722;2;23;55;49;0,35;20,82;0,042;0,35;23,6;20,46;0,34;0,356;0,298;3431;1332;78;2753;1069;62;0,802;16,568;6,431;0,376;803;348;257;91;455;324;131;119;248;181;67;555;400;155;11284;579;1;0,05;0,19;2020-11-09 15:23:00;15;23;22;900;18900;5,2;5;0,333333333333333;5,33333333333333;436,108608;435,77508
"44";"09/11/2020 15:23";6715;3;23;55;49;0,35;20,82;0,042;0,35;23,4;20,59;0,245;0,228;0,202;2229;860;49;1921;741;42;0,862;10,91;4,207;0,241;16;7;2;5;9;3;6;0;0;0;0;16;5;11;15990;9;0;0,29;0,33;2020-11-09 15:23:00;15;23;22;900;18900;5,2;5;0,333333333333333;5,33333333333333;278,869584;277,96034
"45";"09/11/2020 15:38";6722;2;23;55;49;0,35;20,82;0,042;0,35;23,5;20,45;0,366;0,373;0,324;3570;1386;81;3004;1166;68;0,842;17,39;6,75;0,395;459;289;176;113;170;93;77;20;320;179;141;139;90;49;11495;211;0;0,05;0,19;2020-11-09 15:38:00;15;38;23;900;19800;5,5;5;0,5;5,5;458,286336;457,16886
