20200508_SD_Ucpdd_K1;Test;TX001;TX002;TX003;;;;;;;;;;;;;;
16.05.2020;07:45;2344;4;0,40;20,76;0,053;-138,605;0,49;30,1;20,59;0,211;-138,604;0,1707;0,1586;51;47;0,913;
16.05.2020;07:50;2344;4;0,40;20,76;0,053;-138,605;0,50;30,1;20,61;0,194;-138,605;0,1535;0,1410;47;42;0,899;
16.05.2020;07:55;2344;4;0,40;20,76;0,055;-138,605;0,50;30,0;20,61;0,192;-138,606;0,1510;0,1370;46;41;0,886;
16.05.2020;08:00;2344;4;0,40;20,76;0,053;-138,605;0,50;29,8;20,60;0,200;-138,605;0,1645;0,1464;51;44;0,865;
16.05.2020;08:05;2344;4;0,40;20,76;0,053;-138,605;0,50;29,7;20,61;0,199;-138,605;0,1572;0,1459;48;44;0,911;
16.05.2020;08:10;2344;4;0,40;20,77;0,053;-138,605;0,50;29,6;20,61;0,200;-138,605;0,1596;0,1473;49;44;0,905;
16.05.2020;08:15;2344;4;0,40;20,76;0,053;-138,606;0,50;29,7;20,57;0,228;-138,605;0,1915;0,1753;59;53;0,896;
16.05.2020;08:20;2344;4;0,40;20,76;0,053;-138,606;0,51;29,7;20,58;0,227;-138,606;0,1866;0,1734;58;53;0,912;
16.05.2020;08:25;2344;4;0,40;20,76;0,057;-138,605;0,50;29,7;20,60;0,207;-138,606;0,1633;0,1503;50;45;0,902;
16.05.2020;08:30;2344;4;0,40;20,76;0,054;-138,606;0,50;29,8;20,60;0,204;-138,605;0,1621;0,1493;50;45;0,903;
16.05.2020;08:35;2344;4;0,40;20,76;0,054;-138,605;0,50;29,8;20,61;0,201;-138,606;0,1572;0,1464;48;44;0,915;
16.05.2020;08:40;2344;4;0,40;20,76;0,054;-138,605;0,50;29,9;20,61;0,195;-138,605;0,1510;0,1410;46;42;0,917;
16.05.2020;08:45;2344;4;0,40;20,77;0,052;-138,605;0,51;29,8;20,61;0,193;-138,605;0,1596;0,1414;50;43;0,861;
16.05.2020;08:50;2344;4;0,40;20,77;0,051;-138,605;0,50;29,9;20,52;0,279;-138,605;0,2431;0,2279;74;68;0,922;
16.05.2020;08:55;2344;4;0,40;20,76;0,055;-138,605;0,50;30,0;20,51;0,293;-138,605;0,2505;0,2382;76;71;0,939;
16.05.2020;09:00;2344;4;0,40;20,76;0,054;-138,606;0,50;30,0;20,52;0,279;-138,606;0,2431;0,2244;74;67;0,905;
16.05.2020;09:05;2344;4;0,40;20,77;0,053;-138,606;0,50;30,0;20,56;0,237;-138,606;0,2038;0,1842;63;55;0,881;
16.05.2020;09:10;2344;4;0,40;20,77;0,052;-138,606;0,50;30,0;20,59;0,208;-138,605;0,1719;0,1562;53;47;0,887;
16.05.2020;09:15;2344;4;0,40;20,77;0,050;-138,606;0,50;30,0;20,51;0,291;-138,605;0,2541;0,2411;77;72;0,936;
16.05.2020;09:20;2344;4;0,40;20,77;0,051;-138,606;0,50;30,0;20,60;0,208;-138,605;0,1694;0,1562;52;47;0,903;
16.05.2020;09:25;2344;4;0,40;20,77;0,051;-138,605;0,50;30,1;20,62;0,189;-138,605;0,1498;0,1380;46;41;0,903;
16.05.2020;09:30;2344;4;0,40;20,77;0,050;-138,605;0,50;30,1;20,62;0,189;-138,605;0,1486;0,1385;45;41;0,916;
16.05.2020;09:35;2344;4;0,40;20,77;0,050;-138,606;0,50;30,1;20,62;0,189;-138,605;0,1498;0,1390;46;42;0,911;
16.05.2020;09:40;2344;4;0,40;20,77;0,051;-138,606;0,50;30,1;20,62;0,184;-138,605;0,1436;0,1326;44;40;0,905;
16.05.2020;09:45;2344;4;0,40;20,77;0,049;-138,606;0,50;30,1;20,62;0,189;-138,605;0,1522;0,1400;47;42;0,900;
16.05.2020;09:50;2344;4;0,40;20,77;0,049;-138,605;0,50;30,2;20,56;0,247;-138,605;0,2136;0,1979;66;60;0,909;
16.05.2020;09:55;2344;4;0,40;20,77;0,050;-138,605;0,50;30,0;20,54;0,268;-138,606;0,2284;0,2181;70;66;0,944;
16.05.2020;10:00;2344;4;0,40;20,77;0,049;-138,605;0,50;29,9;20,54;0,269;-138,605;0,2333;0,2200;71;66;0,929;
16.05.2020;10:05;2344;4;0,40;20,77;0,049;-138,606;0,50;29,8;20,57;0,234;-138,605;0,2038;0,1847;63;56;0,884;
16.05.2020;10:10;2344;4;0,40;20,77;0,049;-138,606;0,50;29,8;20,60;0,196;-138,605;0,1657;0,1473;51;44;0,864;
16.05.2020;10:15;2344;4;0,40;20,77;0,048;-138,605;0,50;29,8;20,62;0,185;-138,606;0,1522;0,1370;47;41;0,877;
16.05.2020;10:20;2344;4;0,40;20,77;0,049;-138,605;0,50;29,7;20,63;0,179;-138,606;0,1424;0,1297;44;39;0,889;
16.05.2020;10:25;2344;4;0,40;20,77;0,048;-138,605;0,50;29,7;20,62;0,180;-138,606;0,1486;0,1311;46;39;0,856;
16.05.2020;10:30;2344;4;0,40;20,77;0,048;-138,605;0,50;29,8;20,60;0,197;-138,605;0,1682;0,1488;52;44;0,859;
16.05.2020;10:35;2344;4;0,40;20,77;0,048;-138,606;0,51;29,8;20,60;0,196;-138,606;0,1694;0,1478;54;45;0,844;
16.05.2020;10:40;2344;4;0,40;20,77;0,048;-138,605;0,50;29,8;20,61;0,185;-138,605;0,1584;0,1370;49;41;0,836;
16.05.2020;10:45;2344;4;0,40;20,77;0,050;-138,605;0,50;29,8;20,59;0,211;-138,605;0,1780;0,1611;54;48;0,883;
16.05.2020;10:50;2344;4;0,40;20,77;0,050;-138,606;0,50;29,9;20,62;0,187;-138,606;0,1535;0,1370;48;41;0,868;
16.05.2020;10:55;2344;4;0,40;20,77;0,048;-138,606;0,50;29,9;20,63;0,174;-138,606;0,1424;0,1257;44;38;0,856;
16.05.2020;11:00;2344;4;0,40;20,77;0,047;-138,606;0,50;30,0;20,51;0,291;-138,606;0,2615;0,2436;80;73;0,915;
16.05.2020;11:05;2344;4;0,40;20,77;0,048;-138,606;0,50;30,1;20,62;0,182;-138,605;0,1498;0,1341;46;40;0,871;
16.05.2020;11:10;2344;4;0,40;20,77;0,047;-138,606;0,52;30,1;20,62;0,187;-138,605;0,1535;0,1405;49;43;0,895;
16.05.2020;11:15;2344;4;0,40;20,77;0,046;-138,606;0,50;30,1;20,63;0,181;-138,606;0,1461;0,1346;45;41;0,902;
16.05.2020;11:20;2344;4;0,40;20,77;0,047;-138,605;0,49;30,1;20,63;0,179;-138,606;0,1436;0,1316;44;39;0,897;
16.05.2020;11:25;2344;4;0,40;20,77;0,047;-138,605;0,50;30,0;20,63;0,174;-138,606;0,1387;0,1267;43;38;0,893;
16.05.2020;11:30;2344;4;0,40;20,77;0,046;-138,606;0,50;29,8;20,63;0,181;-138,606;0,1473;0,1351;45;41;0,897;
16.05.2020;11:35;2344;4;0,40;20,77;0,047;-138,606;0,50;29,7;20,63;0,177;-138,605;0,1424;0,1297;44;39;0,889;
16.05.2020;11:40;2344;4;0,40;20,77;0,046;-138,606;0,50;29,7;20,63;0,181;-138,605;0,1461;0,1346;45;41;0,902;
16.05.2020;11:45;2344;4;0,40;20,77;0,048;-138,605;0,49;29,7;20,51;0,295;-138,606;0,2566;0,2470;77;73;0,953;
16.05.2020;11:50;2344;4;0,40;20,77;0,049;-138,605;0,50;29,8;20,55;0,248;-138,605;0,2185;0,1989;67;59;0,889;
16.05.2020;11:55;2344;4;0,40;20,77;0,048;-138,606;0,50;29,8;20,56;0,233;-138,605;0,2075;0,1852;64;56;0,868;
16.05.2020;12:00;2344;4;0,40;20,77;0,046;-138,606;0,49;29,8;20,56;0,231;-138,606;0,2087;0,1842;63;54;0,856;
16.05.2020;12:05;2344;4;0,40;20,77;0,047;-138,606;0,50;29,8;20,59;0,208;-138,605;0,1817;0,1611;56;48;0,861;
16.05.2020;12:10;2344;4;0,40;20,77;0,046;-138,606;0,51;29,9;20,60;0,198;-138,606;0,1694;0,1518;53;47;0,872;
16.05.2020;12:15;2344;4;0,40;20,77;0,046;-138,605;0,51;29,9;20,62;0,188;-138,605;0,1535;0,1414;48;43;0,903;
16.05.2020;12:20;2344;4;0,40;20,77;0,046;-138,606;0,51;30,0;20,62;0,181;-138,606;0,1498;0,1341;47;41;0,871;
16.05.2020;12:25;2344;4;0,40;20,77;0,047;-138,606;0,50;30,0;20,63;0,181;-138,605;0,1473;0,1346;45;40;0,893;
16.05.2020;12:30;2344;4;0,40;20,77;0,046;-138,605;0,51;30,0;20,63;0,178;-138,606;0,1400;0,1311;43;40;0,922;
16.05.2020;12:35;2344;4;0,40;20,77;0,046;-138,605;0,50;30,1;20,63;0,176;-138,605;0,1424;0,1297;44;39;0,889;
16.05.2020;12:40;2344;4;0,40;20,77;0,047;-138,605;0,49;30,1;20,63;0,172;-138,606;0,1412;0,1247;43;37;0,857;
16.05.2020;12:45;2344;4;0,40;20,77;0,047;-138,606;0,50;30,1;20,63;0,167;-138,605;0,1351;0,1193;42;36;0,858;
16.05.2020;12:50;2344;4;0,40;20,77;0,049;-138,606;0,49;29,9;20,64;0,164;-138,605;0,1326;0,1154;41;34;0,842;
16.05.2020;12:55;2344;4;0,40;20,77;0,047;-138,606;0,50;29,8;20,60;0,202;-138,605;0,1707;0,1547;52;46;0,885;
16.05.2020;13:00;2344;4;0,40;20,77;0,046;-138,605;0,50;29,8;20,54;0,256;-138,605;0,2296;0,2092;71;63;0,891;
16.05.2020;13:05;2344;4;0,40;20,77;0,047;-138,606;0,50;29,7;20,54;0,254;-138,605;0,2308;0,2068;71;62;0,872;
16.05.2020;13:10;2344;4;0,40;20,77;0,046;-138,605;0,50;29,7;20,52;0,268;-138,605;0,2505;0,2215;77;66;0,858;
16.05.2020;13:15;2344;4;0,40;20,77;0,046;-138,606;0,50;29,8;20,55;0,246;-138,606;0,2259;0,1994;70;60;0,856;
16.05.2020;13:20;2344;4;0,40;20,77;0,046;-138,605;0,49;29,8;20,59;0,203;-138,605;0,1817;0,1562;55;46;0,829;
16.05.2020;13:25;2344;4;0,40;20,77;0,046;-138,606;0,50;29,8;20,61;0,184;-138,606;0,1584;0,1380;49;41;0,843;
16.05.2020;13:30;2344;4;0,40;20,77;0,047;-138,606;0,50;29,8;20,62;0,177;-138,605;0,1486;0,1292;46;39;0,841;
16.05.2020;13:35;2344;4;0,40;20,77;0,046;-138,606;0,51;29,8;20,63;0,177;-138,606;0,1473;0,1306;47;40;0,861;
16.05.2020;13:40;2344;4;0,40;20,77;0,047;-138,606;0,49;29,9;20,62;0,184;-138,606;0,1486;0,1370;45;40;0,904;
16.05.2020;13:45;2344;4;0,40;20,77;0,048;-138,605;0,51;29,9;20,63;0,180;-138,605;0,1461;0,1316;46;40;0,878;
16.05.2020;13:50;2344;4;0,40;20,77;0,049;-138,605;0,50;30,0;20,63;0,167;-138,605;0,1363;0,1184;42;35;0,840;
16.05.2020;13:55;2344;4;0,40;20,77;0,048;-138,606;0,50;30,0;20,58;0,221;-138,605;0,1915;0,1724;59;52;0,877;
16.05.2020;14:00;2344;4;0,40;20,77;0,046;-138,606;0,50;30,1;20,49;0,304;-138,605;0,2775;0,2578;85;78;0,912;
16.05.2020;14:05;2344;4;0,40;20,77;0,045;-138,605;0,50;30,2;20,47;0,315;-138,606;0,3008;0,2691;93;81;0,871;
16.05.2020;14:10;2344;4;0,40;20,77;0,046;-138,606;0,50;30,2;20,57;0,224;-138,606;0,2063;0,1783;65;54;0,835;
16.05.2020;14:15;2344;4;0,40;20,77;0,046;-138,606;0,50;30,0;20,61;0,188;-138,606;0,1645;0,1424;51;43;0,836;
16.05.2020;14:20;2344;4;0,40;20,77;0,046;-138,606;0,50;29,8;20,62;0,179;-138,605;0,1572;0,1331;49;40;0,814;
16.05.2020;14:25;2344;4;0,40;20,77;0,047;-138,606;0,50;29,8;20,62;0,181;-138,605;0,1498;0,1341;46;40;0,871;
16.05.2020;14:30;2344;4;0,40;20,77;0,047;-138,606;0,50;29,7;20,63;0,177;-138,605;0,1424;0,1301;43;39;0,894;
16.05.2020;14:35;2344;4;0,40;20,77;0,046;-138,605;0,49;29,7;20,63;0,176;-138,605;0,1449;0,1301;44;38;0,875;
16.05.2020;14:40;2344;4;0,40;20,77;0,046;-138,605;0,50;29,8;20,63;0,173;-138,605;0,1449;0,1272;45;38;0,851;
16.05.2020;14:45;2344;4;0,40;20,77;0,047;-138,606;0,50;29,8;20,63;0,169;-138,606;0,1400;0,1223;43;37;0,846;
16.05.2020;14:50;2344;4;0,40;20,77;0,046;-138,606;0,50;29,8;20,63;0,169;-138,605;0,1400;0,1223;43;37;0,846;
16.05.2020;14:55;2344;4;0,40;20,77;0,046;-138,605;0,50;29,8;20,63;0,174;-138,605;0,1461;0,1277;45;38;0,846;
16.05.2020;15:00;2344;4;0,40;20,77;0,046;-138,605;0,50;29,8;20,64;0,163;-138,605;0,1351;0,1169;42;35;0,836;
16.05.2020;15:05;2344;4;0,40;20,77;0,047;-138,606;0,50;29,9;20,57;0,231;-138,606;0,2050;0,1837;63;55;0,872;
16.05.2020;15:10;2344;4;0,40;20,77;0,046;-138,606;0,50;29,9;20,56;0,236;-138,605;0,2112;0,1891;65;57;0,871;
16.05.2020;15:15;2344;4;0,40;20,77;0,046;-138,605;0,50;30,0;20,52;0,273;-138,605;0,2566;0,2269;80;68;0,858;
16.05.2020;15:20;2344;4;0,40;20,77;0,047;-138,606;0,50;30,0;20,57;0,224;-138,605;0,2001;0,1763;62;53;0,854;
16.05.2020;15:25;2344;4;0,40;20,77;0,048;-138,606;0,50;30,1;20,60;0,195;-138,606;0,1670;0,1464;52;44;0,849;
16.05.2020;15:30;2344;4;0,40;20,77;0,048;-138,605;0,50;30,1;20,62;0,184;-138,605;0,1559;0,1365;48;41;0,848;
16.05.2020;15:35;2344;4;0,40;20,77;0,047;-138,605;0,50;30,1;20,62;0,186;-138,605;0,1547;0,1390;47;41;0,875;
16.05.2020;15:40;2344;4;0,40;20,77;0,046;-138,606;0,50;30,0;20,63;0,175;-138,606;0,1436;0,1287;44;39;0,872;
16.05.2020;15:45;2344;4;0,40;20,77;0,046;-138,606;0,49;29,8;20,63;0,175;-138,605;0,1400;0,1282;42;38;0,896;
16.05.2020;15:50;2344;4;0,40;20,77;0,046;-138,606;0,50;29,8;20,60;0,207;-138,606;0,1719;0,1606;52;48;0,919;
16.05.2020;15:55;2344;4;0,40;20,77;0,047;-138,606;0,50;29,7;20,61;0,191;-138,605;0,1621;0,1444;50;43;0,866;
16.05.2020;16:00;2344;4;0,40;20,77;0,048;-138,606;0,50;29,7;20,61;0,193;-138,605;0,1596;0,1444;49;43;0,883;
16.05.2020;16:05;2344;4;0,40;20,77;0,048;-138,606;0,50;29,6;20,62;0,186;-138,606;0,1510;0,1375;47;41;0,890;
16.05.2020;16:10;2344;4;0,40;20,77;0,048;-138,606;0,50;29,7;20,54;0,263;-138,605;0,2284;0,2141;70;64;0,923;
16.05.2020;16:15;2344;4;0,40;20,77;0,047;-138,606;0,50;29,8;20,52;0,279;-138,605;0,2480;0,2318;75;69;0,919;
16.05.2020;16:20;2344;4;0,40;20,77;0,046;-138,606;0,50;29,9;20,46;0,341;-138,605;0,3168;0,2947;96;88;0,914;
16.05.2020;16:25;2344;4;0,40;20,77;0,046;-138,606;0,50;29,9;20,57;0,229;-138,606;0,2013;0,1827;62;55;0,886;
16.05.2020;16:30;2344;4;0,40;20,77;0,047;-138,605;0,50;29,9;20,59;0,213;-138,605;0,1817;0,1655;56;50;0,890;
16.05.2020;16:35;2344;4;0,40;20,77;0,046;-138,606;0,51;29,9;20,59;0,214;-138,606;0,1817;0,1685;57;51;0,910;
16.05.2020;16:40;2344;4;0,40;20,77;0,046;-138,606;0,50;30,0;20,60;0,206;-138,606;0,1719;0,1596;53;48;0,912;
16.05.2020;16:45;2344;4;0,40;20,77;0,045;-138,605;0,50;30,1;20,53;0,272;-138,606;0,2394;0,2264;73;68;0,932;
16.05.2020;16:50;2344;4;0,40;20,77;0,047;-138,606;0,50;30,1;20,55;0,257;-138,606;0,2173;0,2097;66;63;0,956;
16.05.2020;16:55;2344;4;0,40;20,77;0,047;-138,606;0,50;30,1;20,59;0,214;-138,606;0,1817;0,1670;56;50;0,900;
16.05.2020;17:00;2344;4;0,40;20,77;0,048;-138,605;0,50;30,2;20,52;0,288;-138,606;0,2554;0,2402;78;72;0,926;
16.05.2020;17:05;2344;4;0,40;20,77;0,047;-138,606;0,50;30,0;20,61;0,193;-138,606;0,1608;0,1464;49;44;0,889;
16.05.2020;17:10;2344;4;0,40;20,77;0,046;-138,605;0,49;29,9;20,61;0,194;-138,606;0,1633;0,1478;50;44;0,883;
16.05.2020;17:15;2344;4;0,40;20,77;0,048;-138,606;0,50;29,8;20,61;0,194;-138,606;0,1608;0,1459;49;43;0,885;
16.05.2020;17:20;2344;4;0,40;20,77;0,047;-138,606;0,50;29,7;20,60;0,199;-138,605;0,1682;0,1518;52;45;0,880;
16.05.2020;17:25;2344;4;0,40;20,77;0,046;-138,606;0,50;29,7;20,61;0,199;-138,606;0,1596;0,1522;49;46;0,942;
16.05.2020;17:30;2344;4;0,40;20,77;0,047;-138,606;0,49;29,7;20,61;0,198;-138,605;0,1596;0,1513;47;44;0,935;
16.05.2020;17:35;2344;4;0,40;20,77;0,046;-138,606;0,50;29,8;20,61;0,196;-138,606;0,1621;0,1498;49;45;0,906;
16.05.2020;17:40;2344;4;0,40;20,77;0,046;-138,606;0,50;29,8;20,51;0,291;-138,606;0,2640;0,2446;81;74;0,909;
16.05.2020;17:45;2344;4;0,40;20,77;0,046;-138,606;0,50;29,8;20,59;0,210;-138,605;0,1780;0,1635;55;49;0,899;
16.05.2020;17:50;2344;4;0,40;20,77;0,047;-138,606;0,50;29,9;20,48;0,327;-138,605;0,2959;0,2799;90;84;0,933;
16.05.2020;17:55;2344;4;0,40;20,77;0,047;-138,606;0,50;30,0;20,52;0,278;-138,605;0,2492;0,2308;76;69;0,909;
16.05.2020;18:00;2344;4;0,40;20,77;0,048;-138,606;0,50;30,1;20,49;0,305;-138,606;0,2775;0,2573;85;77;0,910;
16.05.2020;18:05;2344;4;0,40;20,77;0,047;-138,606;0,50;30,1;20,51;0,283;-138,605;0,2603;0,2352;81;71;0,882;
16.05.2020;18:10;2344;4;0,40;20,77;0,047;-138,606;0,50;30,2;20,53;0,265;-138,606;0,2394;0,2181;73;65;0,890;
16.05.2020;18:15;2344;4;0,40;20,77;0,047;-138,606;0,50;30,1;20,57;0,233;-138,606;0,2050;0,1856;63;56;0,884;
16.05.2020;18:20;2344;4;0,40;20,77;0,047;-138,605;0,50;30,0;20,59;0,212;-138,606;0,1805;0,1655;55;49;0,898;
16.05.2020;18:25;2344;4;0,40;20,77;0,052;-138,606;0,50;29,9;20,61;0,199;-138,605;0,1584;0,1464;49;44;0,906;
16.05.2020;18:30;2344;4;0,40;20,77;0,049;-138,606;0,52;29,7;20,49;0,328;-138,606;0,2824;0,2790;88;87;0,985;
16.05.2020;18:35;2344;4;0,40;20,77;0,050;-138,606;0,50;29,7;20,48;0,318;-138,606;0,2885;0,2672;88;80;0,908;
16.05.2020;18:40;2344;4;0,40;20,77;0,049;-138,605;0,50;29,6;20,53;0,266;-138,606;0,2419;0,2171;74;65;0,874;
16.05.2020;18:45;2344;4;0,40;20,77;0,050;-138,606;0,50;29,5;20,50;0,293;-138,606;0,2664;0,2431;82;73;0,892;
16.05.2020;18:50;2344;4;0,40;20,77;0,048;-138,605;0,50;29,5;20,49;0,307;-138,605;0,2861;0,2593;88;78;0,885;
16.05.2020;18:55;2344;4;0,40;20,77;0,047;-138,605;0,49;29,6;20,45;0,339;-138,605;0,3192;0,2917;96;86;0,894;
16.05.2020;19:00;2344;4;0,40;20,77;0,046;-138,606;0,50;29,6;20,48;0,318;-138,606;0,2959;0,2721;91;82;0,901;
16.05.2020;19:05;2344;4;0,40;20,77;0,046;-138,606;0,50;29,7;20,44;0,340;-138,606;0,3290;0,2932;102;88;0,866;
16.05.2020;19:10;2344;4;0,40;20,77;0,048;-138,606;0,50;29,7;20,55;0,244;-138,606;0,2234;0,1960;69;59;0,850;
16.05.2020;19:15;2344;4;0,40;20,77;0,049;-138,606;0,50;29,7;20,55;0,241;-138,605;0,2185;0,1920;68;58;0,852;
16.05.2020;19:20;2344;4;0,40;20,77;0,049;-138,606;0,50;29,7;20,59;0,202;-138,605;0,1780;0,1532;55;46;0,830;
16.05.2020;19:25;2344;4;0,40;20,77;0,048;-138,605;0,50;29,7;20,52;0,274;-138,606;0,2480;0,2254;76;68;0,888;
16.05.2020;19:30;2344;4;0,40;20,77;0,047;-138,606;0,51;29,6;20,58;0,214;-138,605;0,1878;0,1670;59;51;0,864;
16.05.2020;19:35;2344;4;0,40;20,77;0,047;-138,605;0,50;29,6;20,61;0,190;-138,605;0,1621;0,1434;50;43;0,859;
16.05.2020;19:40;2344;4;0,40;20,77;0,047;-138,605;0,50;29,6;20,62;0,184;-138,606;0,1547;0,1370;48;41;0,860;
16.05.2020;19:45;2344;4;0,40;20,77;0,047;-138,606;0,50;29,7;20,54;0,254;-138,605;0,2357;0,2073;73;62;0,852;
16.05.2020;19:50;2344;4;0,40;20,77;0,046;-138,606;0,50;29,7;20,56;0,232;-138,605;0,2087;0,1856;65;56;0,864;
16.05.2020;19:55;2344;4;0,40;20,77;0,049;-138,605;0,50;29,7;20,58;0,213;-138,605;0,1866;0,1645;58;49;0,855;
16.05.2020;20:00;2344;4;0,40;20,77;0,049;-138,606;0,51;29,6;20,58;0,218;-138,606;0,1866;0,1685;59;52;0,880;
16.05.2020;20:05;2344;4;0,40;20,77;0,048;-138,606;0,50;29,6;20,57;0,223;-138,605;0,1964;0,1748;61;52;0,865;
16.05.2020;20:10;2344;4;0,40;20,77;0,047;-138,606;0,50;29,6;20,56;0,246;-138,606;0,2149;0,1984;66;59;0,905;
16.05.2020;20:15;2344;4;0,40;20,77;0,047;-138,606;0,49;29,6;20,58;0,222;-138,605;0,1915;0,1743;58;52;0,889;
16.05.2020;20:20;2344;4;0,40;20,77;0,050;-138,605;0,50;29,6;20,59;0,211;-138,606;0,1743;0,1606;53;48;0,903;
16.05.2020;20:25;2344;4;0,40;20,77;0,047;-138,605;0,50;29,6;20,59;0,212;-138,606;0,1793;0,1655;55;50;0,905;
16.05.2020;20:30;2344;4;0,40;20,77;0,046;-138,606;0,50;29,6;20,60;0,204;-138,606;0,1719;0,1581;53;48;0,901;
16.05.2020;20:35;2344;4;0,40;20,77;0,046;-138,606;0,50;29,6;20,57;0,232;-138,606;0,2026;0,1852;62;56;0,894;
16.05.2020;20:40;2344;4;0,40;20,77;0,047;-138,606;0,49;29,6;20,50;0,305;-138,606;0,2713;0,2578;81;76;0,938;
16.05.2020;20:45;2344;4;0,40;20,77;0,051;-138,606;0,50;29,7;20,48;0,317;-138,606;0,2885;0,2652;88;79;0,900;
16.05.2020;20:50;2344;4;0,40;20,77;0,050;-138,605;0,51;29,7;20,46;0,331;-138,606;0,3106;0,2814;97;86;0,884;
16.05.2020;20:55;2344;4;0,40;20,77;0,049;-138,606;0,50;29,8;20,45;0,334;-138,605;0,3155;0,2853;97;86;0,882;
16.05.2020;21:00;2344;4;0,40;20,77;0,051;-138,606;0,50;29,8;20,42;0,357;-138,606;0,3425;0,3065;106;92;0,871;
16.05.2020;21:05;2344;4;0,40;20,77;0,052;-138,606;0,50;29,7;20,51;0,285;-138,606;0,2578;0,2328;79;70;0,880;
16.05.2020;21:10;2344;4;0,40;20,77;0,051;-138,606;0,50;29,7;20,53;0,261;-138,605;0,2345;0,2097;72;63;0,870;
16.05.2020;21:15;2344;4;0,40;20,77;0,049;-138,606;0,50;29,7;20,57;0,223;-138,605;0,1964;0,1743;61;52;0,862;
16.05.2020;21:20;2344;4;0,40;20,77;0,050;-138,605;0,50;29,6;20,56;0,236;-138,606;0,2099;0,1856;65;56;0,858;
16.05.2020;21:25;2344;4;0,40;20,77;0,048;-138,606;0,50;29,6;20,58;0,215;-138,605;0,1866;0,1665;57;50;0,868;
16.05.2020;21:30;2344;4;0,40;20,77;0,047;-138,605;0,51;29,6;20,56;0,242;-138,605;0,2149;0,1945;67;59;0,883;
16.05.2020;21:35;2344;4;0,40;20,77;0,047;-138,606;0,49;29,6;20,55;0,242;-138,606;0,2173;0,1950;66;57;0,874;
16.05.2020;21:40;2344;4;0,40;20,77;0,047;-138,605;0,50;29,6;20,55;0,250;-138,605;0,2259;0,2028;69;60;0,874;
16.05.2020;21:45;2344;4;0,40;20,77;0,047;-138,606;0,50;29,7;20,52;0,272;-138,605;0,2529;0,2249;78;67;0,864;
16.05.2020;21:50;2344;4;0,40;20,77;0,048;-138,605;0,50;29,6;20,53;0,267;-138,606;0,2456;0,2190;76;66;0,867;
16.05.2020;21:55;2344;4;0,40;20,77;0,051;-138,605;0,50;29,6;20,54;0,252;-138,606;0,2271;0,2014;70;60;0,861;
16.05.2020;22:00;2344;4;0,40;20,77;0,050;-138,606;0,50;29,6;20,57;0,221;-138,605;0,1964;0,1709;61;51;0,841;
16.05.2020;22:05;2344;4;0,40;20,77;0,049;-138,605;0,51;29,5;20,59;0,209;-138,606;0,1793;0,1591;56;49;0,862;
16.05.2020;22:10;2344;4;0,40;20,77;0,048;-138,605;0,50;29,5;20,59;0,209;-138,605;0,1805;0,1606;55;48;0,865;
16.05.2020;22:15;2344;4;0,40;20,77;0,048;-138,605;0,50;29,5;20,60;0,202;-138,605;0,1719;0,1537;53;46;0,870;
16.05.2020;22:20;2344;4;0,40;20,77;0,050;-138,606;0,50;29,5;20,60;0,202;-138,605;0,1682;0,1522;52;46;0,883;
16.05.2020;22:25;2344;4;0,40;20,77;0,049;-138,605;0,50;29,5;20,60;0,200;-138,605;0,1694;0,1503;52;45;0,861;
16.05.2020;22:30;2344;4;0,40;20,77;0,049;-138,606;0,50;29,5;20,57;0,226;-138,605;0,1940;0,1768;60;53;0,891;
16.05.2020;22:35;2344;4;0,40;20,77;0,049;-138,605;0,50;29,5;20,52;0,278;-138,605;0,2505;0,2284;77;69;0,891;
16.05.2020;22:40;2344;4;0,40;20,77;0,049;-138,605;0,49;29,6;20,46;0,325;-138,605;0,3057;0,2760;92;81;0,880;
16.05.2020;22:45;2344;4;0,40;20,77;0,051;-138,606;0,50;29,6;20,58;0,221;-138,606;0,1891;0,1704;58;51;0,879;
16.05.2020;22:50;2344;4;0,40;20,77;0,052;-138,606;0,49;29,6;20,56;0,242;-138,605;0,2099;0,1896;63;55;0,881;
16.05.2020;22:55;2344;4;0,40;20,77;0,052;-138,605;0,50;29,6;20,52;0,277;-138,605;0,2455;0,2249;75;67;0,896;
16.05.2020;23:00;2344;4;0,40;20,77;0,051;-138,606;0,50;29,6;20,58;0,225;-138,605;0,1903;0,1734;58;52;0,890;
16.05.2020;23:05;2344;4;0,40;20,77;0,053;-138,605;0,50;29,5;20,59;0,210;-138,606;0,1756;0,1572;54;47;0,871;
16.05.2020;23:10;2344;4;0,40;20,77;0,051;-138,606;0,51;29,5;20,59;0,208;-138,606;0,1743;0,1567;55;48;0,875;
16.05.2020;23:15;2344;4;0,40;20,77;0,050;-138,606;0,50;29,5;20,58;0,219;-138,605;0,1829;0,1689;56;51;0,905;
16.05.2020;23:20;2344;4;0,40;20,77;0,050;-138,605;0,50;29,5;20,59;0,211;-138,605;0,1780;0,1611;55;48;0,883;
16.05.2020;23:25;2344;4;0,40;20,77;0,051;-138,605;0,51;29,5;20,60;0,206;-138,605;0,1719;0,1547;54;47;0,877;
16.05.2020;23:30;2344;4;0,40;20,77;0,052;-138,605;0,50;29,5;20,59;0,208;-138,605;0,1719;0,1557;53;47;0,884;
16.05.2020;23:35;2344;4;0,40;20,77;0,051;-138,605;0,50;29,5;20,59;0,215;-138,605;0,1793;0,1635;55;49;0,892;
