"";"Animal";"Time";"HP2.mean";"HP2.sd";"VO2.mean";"VO2.sd";"VCO2.mean";"VCO2.sd";"RER.mean";"RER.sd"
"98";6722;48;250,135115;23,7054921377832;43,75;4,03112887414927;39;3,91578004149024;0,8925;0,0203387970801291
"99";6715;49;190,25783;13,681160519912;34;2,3094010767585;27,5;2,38047614284762;0,8075;0,0235301225382841
"100";6722;49;242,7475275;26,3312973724734;42,75;4,5;37,25;4,64578662158878;0,865;0,0186189867250253
"101";6715;50;179,27319;5,16154529343684;32,25;0,957427107756338;25,25;0,5;0,7825;0,00568624070307733
"102";6722;50;265,272325;18,6133301246436;46,5;3,3166247903554;41;2,70801280154532;0,88475;0,0291704759417235
"103";6715;51;189,7591175;20,523291894285;34;3,55902608401044;26,75;3,09569593683445;0,797;0,0138323292808309
"104";6722;51;240,534075;5,80923877664707;41,5;1;39,25;1,5;0,94825;0,00340342964277703
"105";6715;52;189,20821;39,0744881790818;34;6,87992248018343;26,75;5,7373048260195;0,7845;0,0152861593170641
"106";6722;52;296,1854275;20,0185747293813;50,75;3,5939764421413;49,25;2,62995563967658;0,977;0,0127801930084539
"107";6715;53;278,0536475;52,480436761532;49;9,34523051258412;42,5;8,34665601703261;0,865;0,041529106258944
"108";6722;53;337,820615;42,3293386550278;57,75;7,18215380880508;57,25;6,89806736219163;0,9855;0,00732575365861198
"109";6715;54;226,7809925;52,5039036016557;39,5;8,88819441731559;36,25;8,99536917900909;0,906;0,024589970855344
"110";6722;54;424,75053;56,849129391339;73;10,0995049383621;70,5;8,66025403784439;0,96575;0,0228673712233538
"111";6715;55;411,057865;36,3181258686702;71;6,48074069840786;67;5,09901951359278;0,9445;0,0121518174223721
"112";6722;55;497,1753325;53,607962184164;85,25;9,03234926989282;83;8,98146239020499;0,97275;0,0111168040971015
"113";6715;56;395,4298075;15,2186404403884;68,25;2,62995563967658;64,75;2,62995563967658;0,94675;0,0043493294502333
"114";6722;56;454,27181;45,18500909879;77,75;7,9320026895272;76,25;7,22841614740048;0,98175;0,0161529151135845
"115";6715;57;399,0912475;16,1657691412676;68,75;2,62995563967658;65,75;3,30403793359983;0,95425;0,0116153633893506
"116";6722;57;466,382575;36,2021780049152;79,5;6,2449979983984;79;6,05530070819498;0,99775;0,00590903263374524
"117";6715;58;401,5636425;33,6700294228348;69,25;5,67890834580027;65,5;6,13731754650732;0,94975;0,00850000000000001
"118";6722;58;470,65566;71,8288479216552;80,25;12,3389626792531;80,25;11,6440256498057;0,997;0,00605530070819499
"119";6715;59;327,3778325;51,2028312540647;56,75;8,77021474461525;53;8,86942313043338;0,92825;0,014338177476002
"120";6722;59;396,61968;64,685416346174;67,5;11,1205515450749;67,75;10,3400515794974;1,005;0,0114891252930761
"121";6715;60;318,12671;43,3008293572968;55;7,39369100427294;51,75;7,18215380880508;0,93925;0,0087702147446152
"122";6722;60;419,3618;72,7796171248737;71,5;12,4498995979887;71;12,11060141639;0,997;0,0127279220613578
"123";6715;61;335,51395;53,7505382504758;58,25;9,17877987534291;53,75;9,21502396451939;0,92175;0,0107819293264239
"124";6722;61;395,2382625;67,928805865227;67,75;11,5866302262565;66,25;11,4709778717132;0,97425;0,00805708797684789
"125";6715;62;320,162955;39,2937947897676;55,5;6,75771164423776;51,5;6,2449979983984;0,92875;0,0115866302262564
"126";6722;62;395,0573675;46,0158668256008;67,75;7,88986691902975;65,75;8,13941029804985;0,97275;0,0138413631313297
"127";6715;63;308,8823425;60,2996742048536;53,5;10,3440804327886;49,75;9,94568583189046;0,93125;0,0111766124861993
"128";6722;63;365,677375;36,0539674549265;62,5;6,1913918736689;61,5;6,13731754650732;0,98675;0,0092150239645194
"129";6715;64;310,4592;40,4739690425538;54;6,92820323027551;49,25;6,65206734782504;0,91475;0,0114418821295566
"130";6722;64;336,325155;46,3362226554277;58;8,04155872120988;55,25;7,88986691902975;0,9505;0,00718795288428262
"131";6715;65;304,1477625;21,3314068666062;52,5;3,51188458428425;49,75;4,57347424467075;0,94575;0,031573987183545
"132";6722;65;290,68433;20,737919695466;50;3,65148371670111;48,25;3,30403793359983;0,961;0,00711805216802088
"133";6715;66;250,0007325;41,4456113911508;43,5;7,18795288428261;40;6,97614984548545;0,91375;0,010688779163216
"134";6722;66;397,94053;33,4068143759174;68,25;5,7373048260195;66,25;5,67890834580027;0,9725;0,00741619848709567
"135";6715;67;235,969195;37,9018267594606;41,25;6,65206734782504;36,75;6,18465843842649;0,89575;0,0286516433501932
"136";6722;67;375,4486225;38,3698715008398;64,5;6,45497224367903;62,25;7,13559154286922;0,965;0,0143061758225833
"137";6715;68;232,2337525;26,1240749558862;40,75;4,57347424467075;35,75;4,11298755975102;0,88025;0,0194828984838841
"138";6722;68;250,5430975;12,9990898440272;43,25;2,21735578260835;40,75;2,3629078131263;0,946;0,00547722557505167
"139";6715;69;207,2076025;32,7522172685885;36,5;5,68624070307733;31,25;5,56027577253743;0,864;0,0177951304200522
"140";6722;69;271,82912;35,6295410689286;47,25;6,13052471924984;43,5;5,8022983951764;0,91775;0,0108128010555391
"141";6715;70;206,9055525;70,023132451635;36,25;12,0933866224478;32;11,2249721603218;0,88175;0,0197884646532603
"142";6722;70;234,3979825;18,776247538594;41,25;3,20156211871642;35,5;3,1091263510296;0,86825;0,0137689263682153
"143";6715;71;243,0320975;50,6989922620561;42,75;9,06917857360853;37,25;7,36545993132812;0,873;0,01796292478041
"144";6722;71;278,95912;69,8423624523627;49,5;12,6095202129185;41,5;9,71253485622231;0,83925;0,0195170865312082
