"";"Genotype";"Animal";"Time";"HP2.mean";"HP2.sd";"VO2.mean";"VO2.sd";"VCO2.mean";"VCO2.sd";"RER.mean";"RER.sd"
"77";"wt";2195;19;333,5976125;101,278324645562;59,1666666666667;18,0697302557385;49,4166666666667;14,914656204451;0,83875;0,0183259627057055
"78";"wt";2262;19;348,030259166667;84,8753712085934;62,25;14,8515380287087;50,0833333333333;13,1664748739388;0,799916666666667;0,0271409061727641
"79";"ko";2263;19;370,116385;70,6929999097284;65,3333333333333;12,4121152935592;55,9166666666667;10,8331002305924;0,855833333333333;0,0156137080409453
"80";"ko";2265;19;309,467859166667;68,7662807700652;54,75;11,9173288648391;46,4166666666667;11,1474280224252;0,843916666666667;0,0297335388632657
"81";"wt";2195;20;314,582386666667;83,3901313261536;56,25;14,7779011918595;45,3333333333333;12,4121152935592;0,803833333333333;0,0138946250780871
"82";"wt";2262;20;304,6293975;67,0582026235156;54,3333333333333;11,6332855777434;44,3333333333333;10,8571998175767;0,81175;0,0318037304844459
"83";"ko";2263;20;330,1850425;59,2707808037451;58,3333333333333;10,5255821115926;49,9166666666667;8,74339577606834;0,853916666666667;0,011797213332997
"84";"ko";2265;20;258,558525;63,0067483126304;46,1666666666667;11,191176177794;37,5833333333333;9,51036117594751;0,81075;0,0164600066276359
"85";"wt";2195;21;296,7732025;53,1376999472113;52,8333333333333;9,31112075407519;43,5;8,45845461922298;0,822;0,0273196565930766
"86";"wt";2262;21;309,818429166667;63,0741170610068;55,6666666666667;11,0316349512196;43,9166666666667;9,96775103050134;0,78375;0,0256093910331915
"87";"ko";2263;21;343,2938725;79,2624114905048;60,5833333333333;13,6878070049976;51,9166666666667;12,8590847499369;0,853916666666667;0,0273477881217388
"88";"ko";2265;21;258,747441666667;71,1667662326057;45,9166666666667;12,4057049437553;38,4166666666667;11,4610671669815;0,831583333333333;0,0245003092126437
"89";"wt";2195;22;293,322781666667;55,4660872224597;52,5;9,6718899159086;42,0833333333333;8,7641660219673;0,79925;0,0237606435480645
"90";"wt";2262;22;283,713726666667;50,1934933168416;51,25;8,88435806244988;39,3333333333333;7,35259179205578;0,764416666666667;0,0149207502451716
"91";"ko";2263;22;303,413570833333;42,6939991012619;53,3333333333333;7,37727879534469;46,5;7,09032631637834;0,872583333333333;0,0197136700763401
"92";"ko";2265;22;267,117376666667;85,3114508927583;47,3333333333333;14,7545575906894;39,9166666666667;13,918322347528;0,834583333333333;0,0354771586782085
"93";"wt";2195;23;252,981110833333;28,5529794199989;45,75;5,02945867320277;35;4,39007144278169;0,761;0,0214730274784649
"94";"wt";2262;23;309,813731666667;59,9246819599141;56;10,6600358177805;42,75;9,01639920064848;0,762;0,0158630502626816
"95";"ko";2263;23;319,3655925;42,5745378932447;56,4166666666667;7,41568771203482;48,0833333333333;6,65320610797167;0,852833333333333;0,0158506285125362
"96";"ko";2265;23;235,818098333333;53,9948645194231;42;9,36142957225891;34,6666666666667;8,8660058992796;0,817916666666667;0,0258648878644858
"97";"wt";2195;24;328,506304166667;93,9292888992634;58,5833333333333;16,4507990042669;47,75;14,6977116338812;0,8105;0,0263904252609643
"98";"wt";2262;24;297,385261666667;46,1615667539878;53,5;8,14080630359962;41,9166666666667;6,89477184451225;0,780916666666667;0,0191428046455312
"99";"ko";2263;24;332,4697125;68,1653365890366;59,0833333333333;11,8510324316901;49,1666666666667;10,9779393109614;0,827083333333333;0,0256850091876506
"100";"ko";2265;24;244,592673333333;74,4308838913416;43,75;13,1917674051936;35,1666666666667;10,9530679250015;0,802083333333333;0,0180325883451112
"101";"wt";2195;25;248,538206666667;23,1756410937897;44,25;4,04800736614493;36,4166666666667;3,70401093001856;0,822416666666667;0,0188990540087127
"102";"wt";2262;25;278,186224166667;32,3569723270613;50,1666666666667;5,68624070307733;38,6666666666667;5,06921785850339;0,772083333333333;0,0205932836947713
"103";"ko";2263;25;284,212990833333;28,7483349968087;50,75;5,11903755158579;41,1666666666667;4,40729422937049;0,811333333333333;0,018509620758029
"104";"ko";2265;25;201,808091666667;11,3506249338462;36,1666666666667;1,99240983979124;28,9166666666667;1,83195540504146;0,797;0,0191073522260649
"105";"wt";2195;26;321,75284;61,406434196845;57,3333333333333;10,688424778349;47;9,82575465526463;0,816416666666667;0,0284204098663213
"106";"wt";2262;26;380,566594166667;91,6079370358174;67,6666666666667;16,3057900108761;56;13,3143804689789;0,828166666666667;0,0100528904331344
