"";"CoV1";"Animal";"Time";"O2";"CO2";"HP";"CoV2"
"135";0,117307826330028;"6722";16,8333333333333;94;86;542,343528;0,117190092750712
"136";0,128605773798749;"6722";16,8333333333333;71;68;414,142716;0,128500320158972
"137";0,134490745595967;"6722";17;83;76;480,816012;0,134430481709549
"138";0,135573183747661;"6722";17;62;59;362,162832;0,135502778466356
"139";0,13035185612423;"6722";17,3333333333333;75;69;434,5974;0,130352530629596
"140";0,132858689619903;"6722";17,3333333333333;49;45;283,528308;0,133034887099157
"141";0,133424159150307;"6722";17,5;93;88;541,848132;0,133591764006994
"142";0,134995862777078;"6722";17,5;47;42;269,917428;0,135136688725011
"143";0,135643232546713;"6722";17,8333333333333;81;76;470,85138;0,135772544683221
"144";0,136479276740479;"6722";17,8333333333333;55;50;317,32866;0,136503775308242
"145";0,13253450222942;"6722";18;73;68;423,616956;0,132578529855173
"146";0,130069660914212;"6722";18;61;57;354,998772;0,130177252526451
"147";0,114632826894518;"6722";18,3333333333333;72;65;414,211104;0,114856559647534
"148";0,110855715290215;"6722";18,3333333333333;58;53;335,70168;0,111092640865113
"149";0,106847856796924;"6722";18,5;91;83;526,097208;0,107086643856368
"150";0,102497041265311;"6722";18,5;48;44;276,300864;0,102769853790721
"151";0,109920974729991;"6722";18,8333333333333;83;78;483,308004;0,110121490058121
"152";0,108801242672369;"6722";18,8333333333333;50;44;285,7284;0,109012374228493
"153";0,109404610799083;"6722";19;97;93;567,256776;0,109605022542616
"154";0,120237771327841;"6722";19;53;46;303,137316;0,120409330635963
"155";0,128486640332582;"6722";19,3333333333333;89;86;520,472712;0,128542420446112
"156";0,151759932703771;"6722";19,3333333333333;74;64;422,878032;0,151669154029055
"157";0,144694362873781;"6722";19,5;89;84;518,83974;0,144663857941389
"158";0,158246279966736;"6722";19,5;64;59;369,575424;0,158290548257267
"159";0,160536813794071;"6722";19,8333333333333;86;82;502,498344;0,160589982411486
"160";0,161734636455855;"6722";19,8333333333333;59;54;340,99758;0,161660673242139
"161";0,157706916092891;"6722";20;85;81;496,37178;0,157618682880592
"162";0,154302662859868;"6722";20;50;45;288,147;0,15419517473706
"163";0,161384036514568;"6722";20,3333333333333;75;71;437,3496;0,161358416654839
"164";0,160722197581395;"6722";20,3333333333333;50;44;285,9786;0,160675906355536
"165";0,160406304262417;"6722";20,5;70;65;406,3248;0,160349496315565
"166";0,160746862512203;"6722";20,5;63;58;364,11606;0,160743174836095
"167";0,164620430842104;"6722";20,8333333333333;71;64;409,287168;0,164609386474997
"168";0,160413174873084;"6722";20,8333333333333;60;54;345,57624;0,160348834870706
"169";0,155499259348324;"6722";21;79;72;456,326436;0,15550275516267
"170";0,149877522780868;"6722";21;72;63;411,448896;0,15000895165482
"171";0,102211037425839;"6722";21,3333333333333;74;67;427,445016;0,10224223298924
"172";0,0969212790383986;"6722";21,3333333333333;56;51;323,19168;0,0969682864433723
"173";0,091526299917331;"6722";21,5;74;65;423,124896;0,091556675356968
"174";0,0906002380446568;"6722";21,5;51;47;295,526232;0,090822456886908
"175";0,0729759582670539;"6722";21,8333333333333;70;61;399,66948;0,0733821550601434
"176";0,0760746414697595;"6722";21,8333333333333;53;50;308,52996;0,0766989498069014
"177";0,10137750399784;"6722";22;80;74;462,76992;0,102140512378556
"178";0,143124705936417;"6722";22;51;46;294,250212;0,144021208035483
"179";0,174706520147488;"6722";22,3333333333333;81;75;469,635408;0,175730863887687
"180";0,193007580760325;"6722";22,3333333333333;52;47;300,280032;0,194062455929185
"181";0,211330022491348;"6722";22,5;76;70;439,25112;0,212400744932975
"182";0,223633037688474;"6722";22,5;50;44;286,479;0,224790022090424
"183";0,23601193221079;"6722";22,8333333333333;76;67;434,433936;0,237240480893448
"184";0,230514033595007;"6722";22,8333333333333;54;47;308,04624;0,231680641254705
"185";0,23208594185295;"6722";23;82;74;472,013976;0,233164148464857
"186";0,24019271939561;"6722";23;51;45;292,20858;0,241399211072221
"187";0,237459934736487;"6722";23,3333333333333;75;66;428,9679;0,238620961814453
"188";0,193792171728362;"6722";23,3333333333333;55;48;315,1269;0,19458976765864
"189";0,166023791846509;"6722";23,5;78;68;444,95568;0,1666444212593
"190";0,126878188510519;"6722";23,5;50;43;285,8118;0,127384554428236
"191";0,0735658484043188;"6722";23,8333333333333;73;64;417,0417;0,0742680805188534
"192";0,0546546975078619;"6722";23,8333333333333;52;44;296,029968;0,0553234853450057
"193";0,0549594007750769;"6722";24;78;66;441,442872;0,0556203338249969
"194";0,0707437747891341;"6722";24;52;44;293,861568;0,0713404143812189
"195";0,0807382383310145;"6722";24,3333333333333;84;72;477,78192;0,0814419375650257
"196";0,085216879792704;"6722";24,3333333333333;49;42;277,561872;0,0858952327749503
"197";0,117637773122855;"6722";24,5;73;60;410,588208;0,118151557006299
"198";0,116936473083515;"6722";24,5;49;39;274,129128;0,117475348529605
