timestep	day	time	daytime	6722	6715
59	day_1	00:38	day	0.3948011586592004	0.19792862429131367
60	day_1	00:53	day	0.34136569520520754	0.24797365607949123
61	day_1	01:08	day	0.40216381860142597	0.27772582543853747
62	day_1	01:23	day	0.3652534475412749	0.24800329785900038
63	day_1	01:38	day	0.3512810278714746	0.2528527735343049
64	day_1	01:53	day	0.4197777225118305	0.24435719015538587
65	day_1	02:08	day	0.422081909300713	0.26535662103647206
66	day_1	02:23	day	0.379416988912739	0.2805582426999262
67	day_1	02:38	day	0.3727879229540244	0.2545148403655017
68	day_1	02:53	day	0.40260287177832466	0.2670423419995853
69	day_1	03:08	day	0.4025532271839653	0.20028850423529176
70	day_1	03:23	day	0.3467060136533115	0.23961373718401882
71	day_1	03:38	day	0.3743770045672493	0.22900109928633347
72	day_1	03:53	day	0.3986185882865586	0.24103187930367034
73	day_1	04:08	day	0.3598910648290113	0.17269895135060906
74	day_1	04:23	day	0.31510397356487263	0.20608904219301022
75	day_1	04:38	day	0.33857888117103085	0.23533736404988934
76	day_1	04:53	day	0.3595945976792647	0.24211428682718555
77	day_1	05:08	day	0.38663596817456414	0.2215978170079308
78	day_1	05:23	day	0.364984560721728	0.22043247179348074
79	day_1	05:38	day	0.39073083595049113	0.2593434296004705
80	day_1	05:53	day	0.3414914558042779	0.27107857949709524
81	day_1	06:08	day	0.40265692351887605	0.2445593419862597
82	day_1	06:23	day	0.3687793716250026	0.21875330759687395
83	day_1	06:38	day	0.3406431333537762	0.1886379604348492
84	day_1	06:53	day	0.3421445123702862	0.25409946593743094
85	day_1	07:08	day	0.33073911004955103	0.32220385918761535
86	day_1	07:23	day	0.3620245450672177	0.26850824464750095
87	day_1	07:38	day	0.3610708771686331	0.23374231473353935
88	day_1	07:53	day	0.31904385129835744	0.26444615444540764
89	day_1	08:08	day	0.3222051890967254	0.23851484036550172
90	day_1	08:23	day	0.3945286821167477	0.24778571706796387
91	day_1	08:38	day	0.3757738555589627	0.2456115386113519
92	day_1	08:53	day	0.3563353568419879	0.24230495457879944
93	day_1	09:08	day	0.3907167685554294	0.24695110123390818
94	day_1	09:23	day	0.36882018766037816	0.26467033095444487
