timestep	day	time	daytime	7546	5052	7547	5053	7548	7540	7541
20	day_1	15:04	day	0.596564029105485	0.408	0.5772064638020902	0.383	0.45268700129580464	0.3982858566349813	0.378
21	day_1	15:19	day	0.5787135926962228	0.3844178869559115	0.564	0.37841756126505527	0.4608125820517791	0.3510916680135827	0.35473784077560305
22	day_1	15:34	day	0.5035679634811143	0.36256668259618585	0.5268779175080139	0.35805015178303845	0.44840915058311215	0.3186458501697842	0.34295136310241225
23	day_1	15:49	day	0.4880015088124092	0.4443893526475123	0.4878546034257689	0.37803572966226434	0.4437526512310145	0.3261833360271655	0.36441810077195685
24	day_1	16:04	day	0.4848013904000895	0.41692366908093903	0.5463052322118314	0.38218458577107733	0.3902609331311744	0.32682668175212665	0.40955092392716497
25	day_1	16:19	day	0.42512563264774994	0.3849452579706077	0.5556786732376082	0.377	0.45504682598220986	0.31945500080814965	0.4203463454820173
26	day_1	16:34	day	0.4157853282083602	0.375	0.607825855208361	0.3686021470361326	0.5312141071489646	0.30581833360271654	0.37316902908511507
27	day_1	16:49	day	0.5507205446966705	0.36256668259618585	0.6142675050480833	0.3570626490238392	0.48247861326128527	0.3279091668013583	0.3560824427146107
28	day_1	17:04	day	0.5959691170565644	0.4325720884044749	0.5261131295275121	0.42553757313232	0.4687393066306426	0.3376366672054331	0.346
29	day_1	17:19	day	0.5362207070412768	0.41250578212502753	0.5765206489783956	0.3830197083011878	0.44370034589617646	0.31581833360271655	0.4763991260354986
30	day_1	17:34	day	0.48277050745665395	0.39068465168414257	0.5315206489783957	0.3775734656144198	0.46647861326128526	0.3114608445127367	0.3808386016567978
31	day_1	17:49	day	0.47412654939856075	0.45873090868436284	0.551924597636236	0.3869532095174019	0.47954807593945836	0.33973334410866185	0.373
32	day_1	18:04	day	0.47322857579253524	0.44224209661767944	0.5587181338341458	0.42968995336140875	0.4624178491356883	0.3494758711816748	0.356
33	day_1	18:19	day	0.5333496820030575	0.323097885465242	0.47108624465222404	0.2861717628906057	0.5051560826996815	0.44771680943976977	0.29733848857349104
34	day_1	18:34	day	0.5171819553465826	0.33770001344507	0.5286751284264312	0.3931823352514331	0.3804731339086572	0.3925650347504345	0.3956837470823731
35	day_1	18:49	day	0.48322615022931525	0.4361202269883875	0.6267935621797759	0.5079855778792259	0.36702144960993266	0.3549108364312403	0.4469210443714085
36	day_1	19:04	day	0.5000765866385773	0.4601025042965664	0.49748845987727497	0.35163755105872607	0.45020970086298584	0.3222833521901583	0.4086636853727795
37	day_1	19:19	day	0.488494069778143	0.546929827522705	0.5434956014633613	0.48633487830035727	0.46554259658683034	0.273495906740259	0.43317731639690227
38	day_1	19:34	day	0.6282364445437938	0.4169829955981683	0.4934902712556627	0.4200644110839772	0.5178907432825284	0.3351352400204431	0.3366196225343463
39	day_1	19:49	day	0.5815812754204113	0.4179413574292724	0.604402215225051	0.40829738657795506	0.5305690460257569	0.36418266284215245	0.3389683681292476
40	day_1	20:04	day	0.626597929673739	0.4225851579214839	0.6486445688306355	0.3864207597456602	0.45611712196521537	0.36211520446185896	0.4555698986636233
41	day_1	20:19	day	0.6633717794444238	0.49742558500811906	0.5678133834145759	0.4318708521923748	0.45453032505310786	0.3555827274941237	0.40426913339643544
42	day_1	20:34	day	0.5890814377650174	0.39859826178198043	0.5468924085351152	0.47591539215532874	0.43451316770977266	0.325869418944046	0.38957992951842013
43	day_1	20:49	day	0.5347965392736495	0.4310215545461811	0.6515242717351709	0.42567889254107505	0.472455976565322	0.4307358485534849	0.4292324970632675
44	day_1	21:04	day	0.6072664107364185	0.45088740237684477	0.7034004558103955	0.48189056049356266	0.5258183011662243	0.3771858404719885	0.38515528497768564
45	day_1	21:19	day	0.5077544452649246	0.4315921033402145	0.7168061638828913	0.4270626490238392	0.4878221139091876	0.34545917488285466	0.27811536579514595
46	day_1	21:34	day	0.5658034912740971	0.4617717598762941	0.6573878281254139	0.4540679352042529	0.3615978813597993	0.2593302634567827	0.2645086046317414
47	day_1	21:49	day	0.5939167287333611	0.5322605719429775	0.75833038365433	0.44361288221679546	0.41444179866011777	0.39910268223774387	0.3434375059116762
48	day_1	22:04	day	0.5800266238785939	0.475522717839884	0.6479264869602219	0.40330955817908487	0.4741895640815195	0.3775827274941237	0.37376138957121596
49	day_1	22:19	day	0.63639145132257	0.5008727589059067	0.6280000779455983	0.43861800557737374	0.49301358436218884	0.4511925189915166	0.4122122091870606
50	day_1	22:34	day	0.6080986840799436	0.5125188859855241	0.7074686126606088	0.5921719257104412	0.4772960811226771	0.38300250444482303	0.43679062132908436
51	day_1	22:49	day	0.6729500372400166	0.4375689748401043	0.6505745486383023	0.43917544983071694	0.49937507565825867	0.35009500727334675	0.4598765511297144
52	day_1	23:04	day	0.6882467388582723	0.45260366759026943	0.5834489213351391	0.4514085881445303	0.46011712196521537	0.31356436156542156	0.3423295446918295
53	day_1	23:19	day	0.6241280582109701	0.4804217188102715	0.6668204990187961	0.39178128380696076	0.429544502958312	0.3518326870866416	0.5041504847519177
54	day_1	23:34	day	0.6106303214295838	0.4953824072287818	0.6745924805491165	0.4313114830590582	0.5487994772132243	0.40939589057726616	0.5470532109567422
55	day_1	23:49	day	0.5889569892404642	0.5262451758385625	0.6414021892431849	0.4620443771431184	0.42212391414630984	0.37909250282852375	0.42027676413834825
56	day_1	00:04	day	0.6492664107364186	0.4188002941846933	0.6336068676487535	0.42039752732419655	0.47897843637068616	0.43040924761632227	0.5110449236449551
57	day_1	00:19	day	0.6074846922144752	0.4024610303917612	0.6272118979372532	0.4078455320711025	0.4452609331311743	0.23021788669960275	0.45197251178514114
58	day_1	00:34	day	0.6885385893500879	0.45039318450187227	0.6500610672278592	0.4221360332283413	0.47012856019410554	0.5259135025059913	0.40769552148017946
59	day_1	00:49	day	0.671029049441814	0.49034692750165193	0.6248994981574695	0.45365582293944684	0.4702083880345194	0.3292803361902503	0.5757958519581132
60	day_1	01:04	day	0.6190045264372277	0.5018149376556312	0.6595601615386654	0.3854084253246949	0.44448051963276697	0.40606193793556244	0.4401291099025755
61	day_1	01:19	day	0.6816342558052131	0.37101382215048595	0.6379641101965057	0.44477759686684953	0.3985796509498148	0.44792185065540135	0.4656689160018083
62	day_1	01:34	day	0.6417490020768861	0.5392251265593353	0.5814686386424749	0.35498365299925255	0.48722471207302226	0.27167372232269343	0.49844950647609587
